Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
role,1445,1,1445,23.774267851266863
subkind,1059,2,2504,41.19776242184929
relator,935,3,3439,56.581112207963145
kind,708,4,4147,68.22968081605791
roleMixin,342,5,4489,73.8565317538664
category,312,6,4801,78.98979927607766
mode,296,7,5097,83.85982230997038
none,245,8,5342,87.8907535373478
event,154,9,5496,90.42448173741361
type,139,10,5635,92.71141822968082
phase,137,11,5772,94.9654491609082
collective,70,12,5842,96.11714379730174
other,70,13,5912,97.2688384336953
mixin,68,14,5980,98.38762750904903
quantity,33,15,6013,98.93056926620599
enumeration,25,16,6038,99.34188877920369
situation,17,17,6055,99.62158604804212
quality,13,18,6068,99.83547219480093
datatype,10,19,6078,100.0
historicalRole,0,20,6078,100.0
abstract,0,21,6078,100.0
phaseMixin,0,22,6078,100.0
historicalRoleMixin,0,23,6078,100.0
