Stereotype Pair,Jaccard Similarity,Dice Coefficient
"('historicalRoleMixin', 'role')",0.0,0.0
"('historicalRoleMixin', 'roleMixin')",0.0,0.0
"('historicalRoleMixin', 'situation')",0.0,0.0
"('historicalRoleMixin', 'subkind')",0.0,0.0
"('historicalRoleMixin', 'type')",0.0,0.0
"('kind', 'mixin')",0.12,0.21428571428571427
"('kind', 'mode')",0.2962962962962963,0.45714285714285713
"('kind', 'phase')",0.20833333333333334,0.3448275862068966
"('kind', 'phaseMixin')",0.0,0.0
"('kind', 'quality')",0.038461538461538464,0.07407407407407407
"('kind', 'quantity')",0.13043478260869565,0.23076923076923078
"('kind', 'relator')",0.5,0.6666666666666666
"('kind', 'role')",0.6923076923076923,0.8181818181818182
"('kind', 'roleMixin')",0.27586206896551724,0.43243243243243246
"('kind', 'situation')",0.07692307692307693,0.14285714285714285
"('kind', 'subkind')",0.6071428571428571,0.7555555555555555
"('kind', 'type')",0.08,0.14814814814814814
"('mixin', 'mode')",0.21428571428571427,0.35294117647058826
"('mixin', 'phase')",0.375,0.5454545454545454
"('mixin', 'phaseMixin')",0.0,0.0
"('mixin', 'quality')",0.5,0.6666666666666666
"('mixin', 'quantity')",0.3333333333333333,0.5
"('mixin', 'relator')",0.125,0.2222222222222222
"('mixin', 'role')",0.23809523809523808,0.38461538461538464
"('mixin', 'roleMixin')",0.1875,0.3157894736842105
"('mixin', 'situation')",0.1111111111111111,0.2
"('mixin', 'subkind')",0.125,0.2222222222222222
"('mixin', 'type')",0.125,0.2222222222222222
"('mode', 'phase')",0.2857142857142857,0.4444444444444444
"('mode', 'phaseMixin')",0.0,0.0
"('mode', 'quality')",0.06666666666666667,0.125
"('mode', 'quantity')",0.15384615384615385,0.26666666666666666
"('mode', 'relator')",0.36,0.5294117647058824
"('mode', 'role')",0.32,0.48484848484848486
"('mode', 'roleMixin')",0.5294117647058824,0.6923076923076923
"('mode', 'situation')",0.0625,0.11764705882352941
"('mode', 'subkind')",0.4782608695652174,0.6470588235294118
"('mode', 'type')",0.14285714285714285,0.25
"('phase', 'phaseMixin')",0.0,0.0
"('phase', 'quality')",0.1111111111111111,0.2
