Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type
category,1.0,0.09531274293926231,0.1420366008075409,0.12741374303451516,0.3940677177253759,0.3623891384889421,0.10776846743739824,0.0,0.059281489192435435,0.3446619257562728,0.03691679819321632,0.5482227474660045,0.2863218829961349
collective,0.09531274293926231,1.0,0.29949931811468616,0.045954606340182086,0.3443208715969745,0.12274687490961343,0.026103861194052745,0.06731590269285902,0.10128139452381817,0.09971598968309321,0.21796686346665214,0.06956320391367582,0.02610725417016833
event,0.1420366008075409,0.29949931811468616,1.0,0.32469052697135753,0.22143311696160667,0.046426122052889304,0.053596991963747176,0.37048716428361433,0.09305767161334831,0.3837668074333101,0.4402248915261088,0.08223472353516546,0.30794947489173047
kind,0.12741374303451516,0.045954606340182086,0.32469052697135753,1.0,0.05902269001765368,0.016805567123959794,0.35512130887377136,0.0773632905080475,0.4496257696027719,0.29363057911188967,0.3112215672369506,0.328503719785786,0.05212931274297332
mode,0.3940677177253759,0.3443208715969745,0.22143311696160667,0.05902269001765368,1.0,0.2432914073116362,0.10779246118860955,0.053260370699665806,0.0637326852168976,0.4851576708917892,0.13870263564881607,0.24715788339485087,0.11531695273872655
phase,0.3623891384889421,0.12274687490961343,0.046426122052889304,0.016805567123959794,0.2432914073116362,1.0,0.039410455260105205,0.0,0.2346437309721752,0.24190815725497627,0.006299705890720441,0.25928284927808776,0.03941557782539959
quality,0.10776846743739824,0.026103861194052745,0.053596991963747176,0.35512130887377136,0.10779246118860955,0.039410455260105205,1.0,0.056259109732417614,0.10202804562883987,0.2714022211094606,0.37519383129632694,0.10168853195338909,0.40913837929542607
relator,0.0,0.06731590269285902,0.37048716428361433,0.0773632905080475,0.053260370699665806,0.0,0.056259109732417614,1.0,0.20320556743213947,0.19259476600709177,0.06256236278212442,0.1279167631376161,0.06998047912863861
role,0.059281489192435435,0.10128139452381817,0.09305767161334831,0.4496257696027719,0.0637326852168976,0.2346437309721752,0.10202804562883987,0.20320556743213947,1.0,0.00835166064652327,0.14834567897198067,0.0,0.09510241342073512
roleMixin,0.3446619257562728,0.09971598968309321,0.3837668074333101,0.29363057911188967,0.4851576708917892,0.24190815725497627,0.2714022211094606,0.19259476600709177,0.00835166064652327,1.0,0.04535254366196892,0.13146056358165498,0.298639097837232
situation,0.03691679819321632,0.21796686346665214,0.4402248915261088,0.3112215672369506,0.13870263564881607,0.006299705890720441,0.37519383129632694,0.06256236278212442,0.14834567897198067,0.04535254366196892,1.0,0.2161924303987428,0.10926108852499197
subkind,0.5482227474660045,0.06956320391367582,0.08223472353516546,0.328503719785786,0.24715788339485087,0.25928284927808776,0.10168853195338909,0.1279167631376161,0.0,0.13146056358165498,0.2161924303987428,1.0,0.1808152865931122
type,0.2863218829961349,0.02610725417016833,0.30794947489173047,0.05212931274297332,0.11531695273872655,0.03941557782539959,0.40913837929542607,0.06998047912863861,0.09510241342073512,0.298639097837232,0.10926108852499197,0.1808152865931122,1.0
