Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
kind,168,1,168,17.355371900826448
subkind,150,2,318,32.85123966942149
event,138,3,456,47.107438016528924
role,100,4,556,57.438016528925615
relator,86,5,642,66.32231404958677
category,79,6,721,74.48347107438018
mode,65,7,786,81.19834710743802
roleMixin,57,8,843,87.08677685950413
phase,24,9,867,89.56611570247934
type,24,10,891,92.04545454545455
collective,16,11,907,93.69834710743802
situation,15,12,922,95.24793388429752
quality,13,13,935,96.5909090909091
enumeration,10,14,945,97.62396694214877
quantity,10,15,955,98.65702479338843
datatype,7,16,962,99.3801652892562
mixin,6,17,968,100.0
abstract,0,18,968,100.0
phaseMixin,0,19,968,100.0
historicalRole,0,20,968,100.0
historicalRoleMixin,0,21,968,100.0
