Stereotype,average_quantity,rank,proportion
abstract,0,9,0.0
category,2,4,0.06896551724137931
collective,0,9,0.0
datatype,0,9,0.0
enumeration,0,9,0.0
event,4,2,0.13793103448275862
historicalRole,0,9,0.0
historicalRoleMixin,0,9,0.0
kind,13,1,0.4482758620689655
mixin,0,9,0.0
mode,1,7,0.034482758620689655
phase,0,9,0.0
phaseMixin,0,9,0.0
quality,0,9,0.0
quantity,0,9,0.0
relator,2,4,0.06896551724137931
role,2,4,0.06896551724137931
roleMixin,1,7,0.034482758620689655
situation,0,9,0.0
subkind,4,2,0.13793103448275862
type,0,9,0.0
