stereotype,total_correlation_model_wise,rank_total_correlation_model_wise
category,2.7310360015294046,6
collective,1.9951502816565565,14
datatype,2.2171503454980312,12
event,3.0173099378570285,3
kind,2.7298284902368106,7
mixin,2.842926728113039,4
mode,3.138900383816524,1
phase,2.4522990473704986,9
quality,2.781622448796564,5
relator,1.5565711727265672,15
role,2.0654537141918348,13
roleMixin,3.1197409622456655,2
situation,2.32953094109633,10
subkind,2.7070653715081536,8
type,2.323839789494662,11
