stereotype,total_correlation_occurrence_wise,rank_total_correlation_occurrence_wise
category,2.9940922834169426,2
collective,1.7772593282570388,14
enumeration,1.7881916468782446,13
event,2.9681465940761824,3
kind,3.0012324286743386,1
mode,2.5033646044177864,6
phase,1.9853821588116438,12
quality,2.4604779924749662,7
quantity,2.4405500663224586,8
relator,1.6522854010421262,15
role,2.037581965871978,11
roleMixin,2.9645851278591575,4
situation,2.8193597685617187,5
subkind,2.3800865064426935,9
type,2.27217663241681,10
