stereotype,geometric_mean_correlation,rank
category,2.859540840399565,4
collective,1.883055880569871,12
event,2.992627309793613,2
kind,2.862315459486922,3
mode,2.8031789307212787,5
phase,2.20652459236696,10
quality,2.616127064696642,6
relator,1.6037143836665957,13
role,2.0514705065831627,11
roleMixin,3.0411737305597186,1
situation,2.5627691692672423,7
subkind,2.5383163244136524,8
type,2.2978630218466396,9
