Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,23,1,23,12.105263157894736
relator,22,2,45,23.684210526315788
subkind,22,3,67,35.26315789473684
role,21,4,88,46.31578947368421
category,21,5,109,57.36842105263158
roleMixin,14,6,123,64.73684210526316
event,14,7,137,72.10526315789474
mode,12,8,149,78.42105263157895
collective,7,9,156,82.10526315789474
phase,6,10,162,85.26315789473684
situation,5,11,167,87.89473684210526
mixin,5,12,172,90.52631578947368
datatype,4,13,176,92.63157894736842
type,4,14,180,94.73684210526315
quality,4,15,184,96.84210526315789
quantity,3,16,187,98.42105263157895
enumeration,3,17,190,100.0
abstract,0,18,190,100.0
phaseMixin,0,19,190,100.0
historicalRole,0,20,190,100.0
historicalRoleMixin,0,21,190,100.0
