Stereotype,Mean,Median,Mode,Standard Deviation,Variance,Skewness,Kurtosis,25th Percentile (Q1),75th Percentile (Q3),Interquartile Range (IQR)
bringsAbout,0.32926829268292684,0.0,0,0.9169848343291407,0.8408611863896417,2.835828598267267,7.192773347618244,0.0,0.0,0.0
characterization,4.658536585365853,2.0,0,6.35225149585139,40.351099066546226,1.8077715877195266,2.8665538987474695,0.0,6.0,6.0
comparative,0.2682926829268293,0.0,0,1.3612701085166241,1.8530563083408615,5.757034113955913,33.447652269879875,0.0,0.0,0.0
componentOf,2.7195121951219514,0.0,0,5.969623497121097,35.63640469738031,3.1080078898061747,10.322629422258764,0.0,2.75,2.75
creation,0.7317073170731707,0.0,0,1.8859374358775969,3.556760012044565,3.590892060442822,14.696936824693466,0.0,0.0,0.0
derivation,1.2195121951219512,0.0,0,3.705266156428294,13.728997289972902,6.246068039906956,46.0608853339164,0.0,1.0,1.0
externalDependence,0.8170731707317073,0.0,0,1.96969665384297,3.8797049081601935,3.093201927670099,10.622725990860786,0.0,0.0,0.0
historicalDependence,0.47560975609756095,0.0,0,1.326143669070118,1.7586570310147547,3.618626477825987,14.074357185597606,0.0,0.0,0.0
instantiation,0.8170731707317073,0.0,0,2.0675508788311,4.274766636555255,2.888605215733623,8.159498896163923,0.0,0.0,0.0
manifestation,0.3780487804878049,0.0,0,1.3299980869051407,1.7688949111713343,5.368415335658775,34.706650378183696,0.0,0.0,0.0
material,3.792682926829268,0.0,0,8.247315769654772,68.01821740439628,3.489327676565612,14.783210360368642,0.0,3.0,3.0
mediation,7.621951219512195,2.0,0,11.139563840900248,124.08988256549229,2.5008522894067293,7.637860923017788,0.0,12.0,12.0
memberOf,0.8414634146341463,0.0,0,2.4061111095467913,5.789370671484492,4.344441564210181,21.914138793193178,0.0,0.0,0.0
participation,2.3902439024390243,0.0,0,6.908138155775648,47.72237277928336,5.315317514271119,33.05921417927752,0.0,2.0,2.0
participational,0.2073170731707317,0.0,0,1.1731334518094225,1.376242095754291,6.167888632469772,37.72111176615769,0.0,0.0,0.0
subCollectionOf,0.0975609756097561,0.0,0,0.6404041181220482,0.41011743450767824,6.851400661045851,48.154252944943686,0.0,0.0,0.0
subQuantityOf,0.13414634146341464,0.0,0,1.1084656854637616,1.228696175850647,8.926521967275464,80.32409638755013,0.0,0.0,0.0
termination,0.06097560975609756,0.0,0,0.3276388020106241,0.10734718458295694,5.537517959462566,30.402982872677114,0.0,0.0,0.0
triggers,0.17073170731707318,0.0,0,0.5398874608103609,0.291478470340259,3.497916773477389,12.549018980046933,0.0,0.0,0.0
