Stereotype,bringsAbout,characterization,componentOf,derivation,externalDependence,historicalDependence,manifestation,material,mediation,memberOf,participation,subCollectionOf
bringsAbout,1.0,0.366977957198767,-0.11839606060237583,-0.08574874525921651,0.6720714527453513,1.0,1.0,-0.13460542464015024,0.21164391474493843,-0.08576571680718265,0.7184212081070996,-0.04634975536174837
characterization,0.366977957198767,1.0,0.14555329394180835,0.10718753222083548,0.47466685361281535,0.366977957198767,0.366977957198767,-0.15050716615080326,0.6063009106676422,0.12261795525306098,0.4778561045889373,-0.17009338539317012
componentOf,-0.11839606060237583,0.14555329394180835,1.0,0.2293206720133569,-0.17011648178616043,-0.11839606060237583,-0.11839606060237583,0.14473807980650877,0.033377780323775925,0.25608991069481174,-0.17011648178616043,0.18952039298989434
derivation,-0.08574874525921651,0.10718753222083548,0.2293206720133569,1.0,-0.1232074343255885,-0.08574874525921651,-0.08574874525921651,0.6674764792763487,0.3677373573445304,0.133584012115236,-0.1232074343255885,0.16523913718145333
externalDependence,0.6720714527453513,0.47466685361281535,-0.17011648178616043,-0.1232074343255885,1.0,0.6720714527453513,0.6720714527453513,-0.1934067835754918,0.3040989538391493,0.18388498105644402,0.9979188345473465,-0.06659729448491156
historicalDependence,1.0,0.366977957198767,-0.11839606060237583,-0.08574874525921651,0.6720714527453513,1.0,1.0,-0.13460542464015024,0.21164391474493843,-0.08576571680718265,0.7184212081070996,-0.04634975536174837
manifestation,1.0,0.366977957198767,-0.11839606060237583,-0.08574874525921651,0.6720714527453513,1.0,1.0,-0.13460542464015024,0.21164391474493843,-0.08576571680718265,0.7184212081070996,-0.04634975536174837
material,-0.13460542464015024,-0.15050716615080326,0.14473807980650877,0.6674764792763487,-0.1934067835754918,-0.13460542464015024,-0.13460542464015024,1.0,0.1539747115841299,-0.09366402471498438,-0.1934067835754918,0.01737639071186059
mediation,0.21164391474493843,0.6063009106676422,0.033377780323775925,0.3677373573445304,0.3040989538391493,0.21164391474493843,0.21164391474493843,0.1539747115841299,1.0,0.11342033817477438,0.3040989538391493,-0.01449221576889696
memberOf,-0.08576571680718265,0.12261795525306098,0.25608991069481174,0.133584012115236,0.18388498105644402,-0.08576571680718265,-0.08576571680718265,-0.09366402471498438,0.11342033817477438,1.0,0.1652718416126853,0.5750818255726836
participation,0.7184212081070996,0.4778561045889373,-0.17011648178616043,-0.1232074343255885,0.9979188345473465,0.7184212081070996,0.7184212081070996,-0.1934067835754918,0.3040989538391493,0.1652718416126853,1.0,-0.06659729448491156
subCollectionOf,-0.04634975536174837,-0.17009338539317012,0.18952039298989434,0.16523913718145333,-0.06659729448491156,-0.04634975536174837,-0.04634975536174837,0.01737639071186059,-0.01449221576889696,0.5750818255726836,-0.06659729448491156,1.0
