Stereotype,average_quantity,rank,proportion
abstract,0,12,0.0
category,3,5,0.05660377358490566
collective,0,12,0.0
datatype,0,12,0.0
enumeration,0,12,0.0
event,4,3,0.07547169811320754
historicalRole,0,12,0.0
historicalRoleMixin,0,12,0.0
kind,9,2,0.16981132075471697
mixin,0,12,0.0
mode,2,7,0.03773584905660377
phase,2,7,0.03773584905660377
phaseMixin,0,12,0.0
quality,2,7,0.03773584905660377
quantity,0,12,0.0
relator,3,5,0.05660377358490566
role,4,3,0.07547169811320754
roleMixin,2,7,0.03773584905660377
situation,0,12,0.0
subkind,21,1,0.39622641509433965
type,1,11,0.018867924528301886
