year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
2005,0.0000000,0.0002100,0.0000000,0.0008400,0.0000000,0.0004200,0.0000000,0.0000000,0.0000000,0.0000000,0.0004200,0.0012600,0.0002100,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2007,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2011,0.0000000,0.0000000,0.0000000,0.0004200,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2012,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0004200,0.0000000,0.0000000,0.0000000,0.0000000,0.0016800,0.0035699,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2013,0.0000000,0.0000000,0.0000000,0.0023100,0.0000000,0.0004200,0.0000000,0.0000000,0.0000000,0.0000000,0.0004200,0.0008400,0.0008400,0.0000000,0.0000000,0.0014700,0.0000000,0.0000000,0.0000000
2014,0.0000000,0.0000000,0.0000000,0.0006300,0.0000000,0.0010500,0.0000000,0.0000000,0.0000000,0.0000000,0.0010500,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2015,0.0000000,0.0287694,0.0000000,0.0611088,0.0000000,0.0205796,0.0004200,0.0000000,0.0000000,0.0000000,0.0545989,0.2652247,0.0254095,0.0000000,0.0000000,0.0025199,0.0006300,0.0000000,0.0000000
2016,0.0000000,0.0035699,0.0031499,0.0010500,0.0000000,0.0000000,0.0012600,0.0000000,0.0000000,0.0000000,0.0002100,0.0052499,0.0008400,0.0008400,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2017,0.0000000,0.0006300,0.0000000,0.0004200,0.0000000,0.0008400,0.0000000,0.0000000,0.0000000,0.0000000,0.0041999,0.0023100,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2018,0.0006300,0.0037799,0.0000000,0.0021000,0.0000000,0.0012600,0.0004200,0.0010500,0.0004200,0.0006300,0.0029399,0.0033599,0.0008400,0.0023100,0.0000000,0.0000000,0.0000000,0.0000000,0.0004200
2019,0.0000000,0.0039899,0.0000000,0.0025199,0.0000000,0.0012600,0.0000000,0.0004200,0.0010500,0.0002100,0.0023100,0.0119698,0.0016800,0.0016800,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2020,0.0000000,0.0069299,0.0000000,0.0092398,0.0008400,0.0018900,0.0021000,0.0000000,0.0008400,0.0006300,0.0012600,0.0081898,0.0000000,0.0023100,0.0000000,0.0000000,0.0000000,0.0000000,0.0004200
2021,0.0012600,0.0180596,0.0002100,0.0149097,0.0014700,0.0012600,0.0031499,0.0021000,0.0025199,0.0018900,0.0237295,0.0209996,0.0025199,0.0062999,0.0002100,0.0000000,0.0021000,0.0000000,0.0006300
2022,0.0014700,0.0115498,0.0000000,0.0071399,0.0056699,0.0060899,0.0044099,0.0044099,0.0073499,0.0010500,0.0113398,0.0340193,0.0031499,0.0188996,0.0018900,0.0016800,0.0002100,0.0002100,0.0008400
2023,0.0018900,0.0226795,0.0035699,0.0096598,0.0025199,0.0031499,0.0033599,0.0000000,0.0014700,0.0004200,0.0132297,0.0302394,0.0069299,0.0018900,0.0000000,0.0000000,0.0000000,0.0008400,0.0006300
2024,0.0010500,0.0170097,0.0008400,0.0033599,0.0021000,0.0073499,0.0010500,0.0012600,0.0008400,0.0023100,0.0134397,0.0258295,0.0002100,0.0100798,0.0014700,0.0000000,0.0000000,0.0000000,0.0004200
