year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
2005,0.0000000,0.0625000,0.0000000,0.2500000,0.0000000,0.1250000,0.0000000,0.0000000,0.0000000,0.0000000,0.1250000,0.3750000,0.0625000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2007,,,,,,,,,,,,,,,,,,,
2011,0.0000000,0.0000000,0.0000000,1.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2012,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0740741,0.0000000,0.0000000,0.0000000,0.0000000,0.2962963,0.6296296,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2013,0.0000000,0.0000000,0.0000000,0.3666667,0.0000000,0.0666667,0.0000000,0.0000000,0.0000000,0.0000000,0.0666667,0.1333333,0.1333333,0.0000000,0.0000000,0.2333333,0.0000000,0.0000000,0.0000000
2014,0.0000000,0.0000000,0.0000000,0.2307692,0.0000000,0.3846154,0.0000000,0.0000000,0.0000000,0.0000000,0.3846154,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2015,0.0000000,0.0626429,0.0000000,0.1330590,0.0000000,0.0448102,0.0009145,0.0000000,0.0000000,0.0000000,0.1188843,0.5775034,0.0553269,0.0000000,0.0000000,0.0054870,0.0013717,0.0000000,0.0000000
2016,0.0000000,0.2207792,0.1948052,0.0649351,0.0000000,0.0000000,0.0779221,0.0000000,0.0000000,0.0000000,0.0129870,0.3246753,0.0519481,0.0519481,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2017,0.0000000,0.0750000,0.0000000,0.0500000,0.0000000,0.1000000,0.0000000,0.0000000,0.0000000,0.0000000,0.5000000,0.2750000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2018,0.0312500,0.1875000,0.0000000,0.1041667,0.0000000,0.0625000,0.0208333,0.0520833,0.0208333,0.0312500,0.1458333,0.1666667,0.0416667,0.1145833,0.0000000,0.0000000,0.0000000,0.0000000,0.0208333
2019,0.0000000,0.1472868,0.0000000,0.0930233,0.0000000,0.0465116,0.0000000,0.0155039,0.0387597,0.0077519,0.0852713,0.4418605,0.0620155,0.0620155,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2020,0.0000000,0.2000000,0.0000000,0.2666667,0.0242424,0.0545455,0.0606061,0.0000000,0.0242424,0.0181818,0.0363636,0.2363636,0.0000000,0.0666667,0.0000000,0.0000000,0.0000000,0.0000000,0.0121212
2021,0.0121951,0.1747967,0.0020325,0.1443089,0.0142276,0.0121951,0.0304878,0.0203252,0.0243902,0.0182927,0.2296748,0.2032520,0.0243902,0.0609756,0.0020325,0.0000000,0.0203252,0.0000000,0.0060976
2022,0.0121107,0.0951557,0.0000000,0.0588235,0.0467128,0.0501730,0.0363322,0.0363322,0.0605536,0.0086505,0.0934256,0.2802768,0.0259516,0.1557093,0.0155709,0.0138408,0.0017301,0.0017301,0.0069204
2023,0.0184426,0.2213115,0.0348361,0.0942623,0.0245902,0.0307377,0.0327869,0.0000000,0.0143443,0.0040984,0.1290984,0.2950820,0.0676230,0.0184426,0.0000000,0.0000000,0.0000000,0.0081967,0.0061475
2024,0.0118483,0.1919431,0.0094787,0.0379147,0.0236967,0.0829384,0.0118483,0.0142180,0.0094787,0.0260664,0.1516588,0.2914692,0.0023697,0.1137441,0.0165877,0.0000000,0.0000000,0.0000000,0.0047393
