year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
2005,0.00000,0.16667,0.00000,0.16667,0.00000,0.16667,0.00000,0.00000,0.00000,0.00000,0.16667,0.16667,0.16667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2007,,,,,,,,,,,,,,,,,,,
2011,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2012,0.00000,0.00000,0.00000,0.00000,0.00000,0.20000,0.00000,0.00000,0.00000,0.00000,0.40000,0.40000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2013,0.00000,0.00000,0.00000,0.12500,0.00000,0.12500,0.00000,0.00000,0.00000,0.00000,0.12500,0.12500,0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,0.00000
2014,0.00000,0.00000,0.00000,0.33333,0.00000,0.33333,0.00000,0.00000,0.00000,0.00000,0.33333,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2015,0.00000,0.15789,0.00000,0.15789,0.00000,0.10526,0.02632,0.00000,0.00000,0.00000,0.13158,0.18421,0.13158,0.00000,0.00000,0.05263,0.05263,0.00000,0.00000
2016,0.00000,0.23077,0.07692,0.07692,0.00000,0.00000,0.07692,0.00000,0.00000,0.00000,0.07692,0.23077,0.15385,0.07692,0.00000,0.00000,0.00000,0.00000,0.00000
2017,0.00000,0.10000,0.00000,0.20000,0.00000,0.10000,0.00000,0.00000,0.00000,0.00000,0.50000,0.10000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2018,0.03846,0.15385,0.00000,0.11538,0.00000,0.03846,0.03846,0.03846,0.03846,0.03846,0.11538,0.23077,0.07692,0.03846,0.00000,0.00000,0.00000,0.00000,0.03846
2019,0.00000,0.16000,0.00000,0.08000,0.00000,0.12000,0.00000,0.04000,0.04000,0.04000,0.12000,0.24000,0.12000,0.04000,0.00000,0.00000,0.00000,0.00000,0.00000
2020,0.00000,0.15789,0.00000,0.10526,0.05263,0.13158,0.05263,0.00000,0.05263,0.02632,0.10526,0.18421,0.00000,0.07895,0.00000,0.00000,0.00000,0.00000,0.05263
2021,0.04545,0.15909,0.01136,0.09091,0.03409,0.05682,0.06818,0.03409,0.04545,0.04545,0.10227,0.13636,0.04545,0.07955,0.01136,0.00000,0.01136,0.00000,0.02273
2022,0.02128,0.12766,0.00000,0.05319,0.06383,0.06383,0.07447,0.08511,0.06383,0.02128,0.08511,0.13830,0.04255,0.07447,0.02128,0.02128,0.01064,0.01064,0.02128
2023,0.03846,0.14103,0.02564,0.08974,0.06410,0.10256,0.03846,0.00000,0.02564,0.01282,0.08974,0.16667,0.08974,0.06410,0.00000,0.00000,0.00000,0.02564,0.02564
2024,0.05000,0.15000,0.05000,0.07500,0.05000,0.05000,0.02500,0.07500,0.02500,0.05000,0.10000,0.12500,0.02500,0.10000,0.02500,0.00000,0.00000,0.00000,0.02500
