Construct,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
bringsAbout,30,0.24793388429752067,12,0.09917355371900827,0.00629987400251995,0.02536997885835095
characterization,558,4.6115702479338845,68,0.5619834710743802,0.11717765644687106,0.14376321353065538
comparative,37,0.30578512396694213,6,0.049586776859504134,0.007769844603107937,0.012684989429175475
componentOf,551,4.553719008264463,45,0.371900826446281,0.11570768584628308,0.09513742071881606
creation,60,0.49586776859504134,18,0.1487603305785124,0.0125997480050399,0.03805496828752643
derivation,219,1.8099173553719008,39,0.32231404958677684,0.04598908021839563,0.0824524312896406
externalDependence,77,0.6363636363636364,22,0.18181818181818182,0.01616967660646787,0.046511627906976744
historicalDependence,44,0.36363636363636365,16,0.1322314049586777,0.009239815203695927,0.03382663847780127
instantiation,69,0.5702479338842975,17,0.14049586776859505,0.014489710205795885,0.035940803382663845
manifestation,34,0.2809917355371901,12,0.09917355371900827,0.007139857202855943,0.02536997885835095
material,623,5.148760330578512,54,0.4462809917355372,0.13082738345233094,0.11416490486257928
mediation,1967,16.25619834710744,77,0.6363636363636364,0.4130617387652247,0.16279069767441862
memberOf,203,1.677685950413223,31,0.256198347107438,0.042629147417051656,0.06553911205073996
participation,211,1.743801652892562,29,0.2396694214876033,0.04430911381772364,0.0613107822410148
participational,17,0.14049586776859505,4,0.03305785123966942,0.0035699286014279717,0.008456659619450317
subCollectionOf,27,0.2231404958677686,6,0.049586776859504134,0.005669886602267955,0.012684989429175475
subQuantityOf,14,0.11570247933884298,4,0.03305785123966942,0.0029399412011759767,0.008456659619450317
termination,5,0.04132231404958678,3,0.024793388429752067,0.0010499790004199917,0.006342494714587738
triggers,16,0.1322314049586777,10,0.08264462809917356,0.0033599328013439733,0.021141649048625793
