stereotype,total_correlation,rank
category,2.551185541039403,4
collective,2.055461867757828,10
datatype,1.4453801994574311,16
event,3.1893855883582205,1
kind,2.621489771315975,3
mixin,1.510654494800563,15
mode,2.3109185391760434,7
phase,1.8552657774359718,12
quality,2.375626343152134,6
relator,1.912206262249792,11
role,2.1410039892901302,9
roleMixin,2.2503459340102747,8
situation,2.8219939100204408,2
subkind,1.8502200869848537,13
type,2.4011477803801218,5
none,1.7283918710624566,14
other,1.3814443993709196,17
