Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
bringsAbout,1.0,0.28519250287584536,0.04210683460787715,0.13897385738960014,0.020491382861804793,0.23160808061489888,0.42816667320579654,0.31302374643516023,0.37689272331269436,0.11902287074885277,0.11843037074709489,0.09055285896499551,0.5537227587194955
characterization,0.28519250287584536,1.0,0.22511273232910425,0.10058866721703116,0.04513460630994137,0.39636121657541656,0.23512755519391632,0.30527884238719005,0.3294221391133615,0.11287869841558316,0.3191422919052993,0.08385496524739504,0.30422463270703815
componentOf,0.04210683460787715,0.22511273232910425,1.0,0.04149159372992064,0.04597265461709249,0.010868518984041961,0.08534253344581998,0.19132434443490393,0.19173324044008233,0.20727933790063732,0.1352612498778134,0.26098845656077024,0.02318216632601379
creation,0.13897385738960014,0.10058866721703116,0.04149159372992064,1.0,0.05572594777569325,0.22801314656507835,0.3367518617680764,0.39292002751534894,0.39246295403553483,0.02142614336829909,0.10252540120379744,0.16248699497668162,0.6420018784233871
derivation,0.020491382861804793,0.04513460630994137,0.04597265461709249,0.05572594777569325,1.0,0.09703507532923553,0.12545922186943598,0.14816972552344643,0.16851108045400695,0.44583031929913575,0.3700910756626684,0.1547183872839122,0.06029709808872625
externalDependence,0.23160808061489888,0.39636121657541656,0.010868518984041961,0.22801314656507835,0.09703507532923553,1.0,0.3747021890695053,0.5465230138170531,0.43960982976117413,0.24689674647970644,0.10253897414214304,0.13685227231524238,0.3696232487044784
historicalDependence,0.42816667320579654,0.23512755519391632,0.08534253344581998,0.3367518617680764,0.12545922186943598,0.3747021890695053,1.0,0.5701986624226443,0.5673683054873372,0.015828583286810624,0.08792975670224072,0.08838074239260237,0.5483761154025935
instantiation,0.31302374643516023,0.30527884238719005,0.19132434443490393,0.39292002751534894,0.14816972552344643,0.5465230138170531,0.5701986624226443,1.0,0.7941569355888237,0.15006480169862024,0.033676821322002726,0.010616077605693598,0.5078154539566435
manifestation,0.37689272331269436,0.3294221391133615,0.19173324044008233,0.39246295403553483,0.16851108045400695,0.43960982976117413,0.5673683054873372,0.7941569355888237,1.0,0.10280146170248168,0.037580644306860374,0.04449592946317499,0.5496730983468737
material,0.11902287074885277,0.11287869841558316,0.20727933790063732,0.02142614336829909,0.44583031929913575,0.24689674647970644,0.015828583286810624,0.15006480169862024,0.10280146170248168,1.0,0.29320612739261387,0.14160629174537204,0.064859123474462
mediation,0.11843037074709489,0.3191422919052993,0.1352612498778134,0.10252540120379744,0.3700910756626684,0.10253897414214304,0.08792975670224072,0.033676821322002726,0.037580644306860374,0.29320612739261387,1.0,0.28499653390318186,0.03373804538834942
memberOf,0.09055285896499551,0.08385496524739504,0.26098845656077024,0.16248699497668162,0.1547183872839122,0.13685227231524238,0.08838074239260237,0.010616077605693598,0.04449592946317499,0.14160629174537204,0.28499653390318186,1.0,0.1377933036560645
participation,0.5537227587194955,0.30422463270703815,0.02318216632601379,0.6420018784233871,0.06029709808872625,0.3696232487044784,0.5483761154025935,0.5078154539566435,0.5496730983468737,0.064859123474462,0.03373804538834942,0.1377933036560645,1.0
