Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,none,other
bringsAbout,1.0,0.25956480745398847,0.045770272933330525,0.1281052593127583,-0.0077741994302736464,0.23122741560118612,0.4154616690701105,0.30561058594220114,0.3665813590958222,0.10381891142981432,-0.11085747348165124,-0.0850320173501136,0.5396336183760562,0.049400067316684566,-0.13371092930443168
characterization,0.25956480745398847,1.0,0.25087804302298455,0.11253233734905374,0.048285128498174394,0.35907318866392096,0.2011529544684668,0.2751927158808678,0.27796709185441726,0.10862320585556355,0.3748627909439761,0.11756457192295888,0.30237157840738177,-0.004092084994511045,0.09462600928208408
componentOf,0.045770272933330525,0.25087804302298455,1.0,0.02781075823199133,-0.048201410846432015,-0.001982005790002331,0.10764876920880496,0.2046871805874562,0.2190471604934023,0.18153484418733062,0.10031389303604894,0.26063376138530653,-0.026486503510307565,-0.08676956568381294,0.02550414844611731
creation,0.1281052593127583,0.11253233734905374,0.02781075823199133,1.0,0.04534780159009572,0.21928490057628533,0.32128122120254626,0.37875457875457874,0.36748868117618483,-0.05220583448256127,0.10014250132990801,0.15010573551352865,0.6670412731272115,0.16483516483516483,0.002316686930526285
derivation,-0.0077741994302736464,0.048285128498174394,-0.048201410846432015,0.04534780159009572,1.0,-0.08887528795714546,-0.12137744181835836,-0.13490970973053476,-0.15838415914748716,0.4758425067917339,0.4129825940098885,0.17876052236834938,-0.05305482838361476,0.07482387262365793,0.28859720906104197
externalDependence,0.23122741560118612,0.35907318866392096,-0.001982005790002331,0.21928490057628533,-0.08887528795714546,1.0,0.3816156535123178,0.5651807258900687,0.4365005607875787,-0.2427681156441717,0.08594190832237213,0.1372093023255814,0.35685968840610494,-0.011747405388015286,0.09390329843708549
historicalDependence,0.4154616690701105,0.2011529544684668,0.10764876920880496,0.32128122120254626,-0.12137744181835836,0.3816156535123178,1.0,0.5611108651988133,0.5641523887327573,-0.031171336959708095,0.08096265115204702,0.09674763046791156,0.5052655794016532,0.07843485212456529,-0.044121215789079606
instantiation,0.30561058594220114,0.2751927158808678,0.2046871805874562,0.37875457875457874,-0.13490970973053476,0.5651807258900687,0.5611108651988133,1.0,0.7946136834204347,-0.16288220358559113,-0.011010432083393027,0.011747405388015286,0.47577064656774054,0.08717948717948718,0.1251010942484194
manifestation,0.3665813590958222,0.27796709185441726,0.2190471604934023,0.36748868117618483,-0.15838415914748716,0.4365005607875787,0.5641523887327573,0.7946136834204347,1.0,-0.10681783274386944,-0.021916966313157808,0.055998427206301216,0.5028593488592381,0.05963632106806508,0.191135073494768
material,0.10381891142981432,0.10862320585556355,0.18153484418733062,-0.05220583448256127,0.4758425067917339,-0.2427681156441717,-0.031171336959708095,-0.16288220358559113,-0.10681783274386944,1.0,0.28694455042760764,0.15161380402298846,-0.08658132414539602,-0.11380871917198356,0.17086747115866432
mediation,-0.11085747348165124,0.3748627909439761,0.10031389303604894,0.10014250132990801,0.4129825940098885,0.08594190832237213,0.08096265115204702,-0.011010432083393027,-0.021916966313157808,0.28694455042760764,1.0,0.28398195793479486,0.07619248634889587,-0.10014250132990801,0.1682872097962223
memberOf,-0.0850320173501136,0.11756457192295888,0.26063376138530653,0.15010573551352865,0.17876052236834938,0.1372093023255814,0.09674763046791156,0.011747405388015286,0.055998427206301216,0.15161380402298846,0.28398195793479486,1.0,0.12966973662804415,-0.15010573551352865,0.20328516255061363
participation,0.5396336183760562,0.30237157840738177,-0.026486503510307565,0.6670412731272115,-0.05305482838361476,0.35685968840610494,0.5052655794016532,0.47577064656774054,0.5028593488592381,-0.08658132414539602,0.07619248634889587,0.12966973662804415,1.0,0.0980412331106722,0.0703757254351279
none,0.049400067316684566,-0.004092084994511045,-0.08676956568381294,0.16483516483516483,0.07482387262365793,-0.011747405388015286,0.07843485212456529,0.08717948717948718,0.05963632106806508,-0.11380871917198356,-0.10014250132990801,-0.15010573551352865,0.0980412331106722,1.0,-0.002316686930526285
other,-0.13371092930443168,0.09462600928208408,0.02550414844611731,0.002316686930526285,0.28859720906104197,0.09390329843708549,-0.044121215789079606,0.1251010942484194,0.191135073494768,0.17086747115866432,0.1682872097962223,0.20328516255061363,0.0703757254351279,-0.002316686930526285,1.0
