Percentage,Coverage
Top 10% Coverage,0.5779467680608364
Top 20% Coverage,0.7411732753938077
Top 30% Coverage,0.8400325909831613
Top 40% Coverage,0.9008690928843021
Top 50% Coverage,0.9372623574144486
Top 60% Coverage,0.9614340032590983
Top 70% Coverage,0.9801738185768604
Top 80% Coverage,0.9913090711569799
Top 90% Coverage,0.9972840847365562
Top 100% Coverage,1.0
