Stereotype,characterization,componentOf,creation,derivation,externalDependence,instantiation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.21841472820194902,0.13288184472422068,0.046722502541230115,0.38835490407168255,0.29935884210187635,0.0891239240514109,0.33989708004102265,0.08006547030253008,0.3255167181075425,0.01916379048199838,0.07451172858437416
componentOf,0.21841472820194902,1.0,0.02582646112099337,0.037836096735982296,0.006284870668067635,0.19555161425860204,0.2029087008844276,0.13321262599933154,0.26532945284093695,0.031746528333004835,0.12262833148437145,0.029431427812125432
creation,0.13288184472422068,0.02582646112099337,1.0,0.040057642602025434,0.2093508319739721,0.37000033793280246,0.0448036886129779,0.13148711212076267,0.14618297453893983,0.6604467768439402,0.0904194733310234,0.004860811453156064
derivation,0.046722502541230115,0.037836096735982296,0.040057642602025434,1.0,0.09068405286093802,0.1424076049828328,0.4386373248273355,0.362880095504951,0.16001275068666798,0.06747630972366318,0.02626638029892051,0.28998809878581056
externalDependence,0.38835490407168255,0.006284870668067635,0.2093508319739721,0.09068405286093802,1.0,0.5485599015004985,0.2457814168076709,0.10087307557595353,0.14065637602719408,0.35384984616496884,0.0216529154066094,0.09017123779053027
instantiation,0.29935884210187635,0.19555161425860204,0.37000033793280246,0.1424076049828328,0.5485599015004985,1.0,0.1497540423976838,0.03023854989913577,0.014384432058700374,0.4899197642226241,0.0855822241166457,0.11299391666028398
material,0.0891239240514109,0.2029087008844276,0.0448036886129779,0.4386373248273355,0.2457814168076709,0.1497540423976838,1.0,0.2657570973543238,0.13909472406023485,0.0840716778722815,0.1443932587138663,0.14106982748484012
mediation,0.33989708004102265,0.13321262599933154,0.13148711212076267,0.362880095504951,0.10087307557595353,0.03023854989913577,0.2657570973543238,1.0,0.2800475403789899,0.06847945531568723,0.1755836121699738,0.15784229535338956
memberOf,0.08006547030253008,0.26532945284093695,0.14618297453893983,0.16001275068666798,0.14065637602719408,0.014384432058700374,0.13909472406023485,0.2800475403789899,1.0,0.12759159407633827,0.22833164755328034,0.1997006178597671
participation,0.3255167181075425,0.031746528333004835,0.6604467768439402,0.06747630972366318,0.35384984616496884,0.4899197642226241,0.0840716778722815,0.06847945531568723,0.12759159407633827,1.0,0.09125928696994934,0.07564797775374492
none,0.01916379048199838,0.12262833148437145,0.0904194733310234,0.02626638029892051,0.0216529154066094,0.0855822241166457,0.1443932587138663,0.1755836121699738,0.22833164755328034,0.09125928696994934,1.0,0.01685775870589345
other,0.07451172858437416,0.029431427812125432,0.004860811453156064,0.28998809878581056,0.09017123779053027,0.11299391666028398,0.14106982748484012,0.15784229535338956,0.1997006178597671,0.07564797775374492,0.01685775870589345,1.0
