Stereotype,characterization,componentOf,creation,derivation,externalDependence,instantiation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.19015212698849338,0.15691120502137487,-0.045210447017818144,0.42002448603225334,0.32564712353567965,0.07312501758494935,0.3081928316477789,0.05452730724836196,0.35043351073408446,-0.08974663677087522,0.058673061864848434
componentOf,0.19015212698849338,1.0,0.023983743573985344,-0.029699757560531618,0.01992910389746665,0.18682378510170644,0.22679910889239366,0.17690075809599665,0.2701097439206886,-0.03805115540471636,-0.1733062458493578,-0.03396345284338321
creation,0.15691120502137487,0.023983743573985344,1.0,0.03538462008226794,0.1998667976363808,0.36144843587249453,-0.03845107607654894,0.1726425885539032,0.14236272832576977,0.6539174749991271,-0.04959913235525522,-0.010198826467141887
derivation,-0.045210447017818144,-0.029699757560531618,0.03538462008226794,1.0,-0.09252962924014059,-0.1503222117774411,0.4043411422592643,0.31885596541758693,0.14323117902707092,-0.08581787016636301,0.009220623175675869,0.2913856918818029
externalDependence,0.42002448603225334,0.01992910389746665,0.1998667976363808,-0.09252962924014059,1.0,0.5324278620088101,-0.24883211985105808,0.11839831782631256,0.1441900496670249,0.35086538967237996,-0.039910833934794034,0.08658750288866544
instantiation,0.32564712353567965,0.18682378510170644,0.36144843587249453,-0.1503222117774411,0.5324278620088101,1.0,-0.1376839993613099,0.08304577813814072,0.017613411542131575,0.5044896676738908,-0.0840142253839174,0.1020584614302246
material,0.07312501758494935,0.22679910889239366,-0.03845107607654894,0.4043411422592643,-0.24883211985105808,-0.1376839993613099,1.0,0.2461340864949229,0.12760937162726507,-0.08163477620637095,-0.18319697571240268,0.11646860629266961
mediation,0.3081928316477789,0.17690075809599665,0.1726425885539032,0.31885596541758693,0.11839831782631256,0.08304577813814072,0.2461340864949229,1.0,0.2761676320660114,0.06154722105877519,-0.30785734781170654,0.14804565500013378
memberOf,0.05452730724836196,0.2701097439206886,0.14236272832576977,0.14323117902707092,0.1441900496670249,0.017613411542131575,0.12760937162726507,0.2761676320660114,1.0,0.12554675672426888,-0.3473241118737705,0.19617927975261537
participation,0.35043351073408446,-0.03805115540471636,0.6539174749991271,-0.08581787016636301,0.35086538967237996,0.5044896676738908,-0.08163477620637095,0.06154722105877519,0.12554675672426888,1.0,-0.08494647806869535,0.08131520496376515
none,-0.08974663677087522,-0.1733062458493578,-0.04959913235525522,0.009220623175675869,-0.039910833934794034,-0.0840142253839174,-0.18319697571240268,-0.30785734781170654,-0.3473241118737705,-0.08494647806869535,1.0,-0.12266829187902736
other,0.058673061864848434,-0.03396345284338321,-0.010198826467141887,0.2913856918818029,0.08658750288866544,0.1020584614302246,0.11646860629266961,0.14804565500013378,0.19617927975261537,0.08131520496376515,-0.12266829187902736,1.0
