stereotype,total_correlation,rank
bringsAbout,2.7825485860984225,7
characterization,2.786786508598349,6
componentOf,1.5872683173633284,14
creation,2.7372527344123943,8
derivation,2.1372166722567885,11
externalDependence,3.2121694573018367,5
historicalDependence,3.5105042291071396,4
instantiation,4.093751314457601,2
manifestation,4.123099054393484,1
material,2.275480660606984,9
mediation,2.214539916509872,10
memberOf,2.012455770578036,12
participation,3.8902035707074454,3
none,1.0813336972705825,15
other,1.614147920864708,13
