model,sortal,non_sortal,rigid,non_rigid,abstracts,temporal,other,none,rigid_sortal,rigid_non_sortal,non_rigid_sortal,non_rigid_non_sortal,undef
abel2015petroleum-system,15,1,12,4,6,7,0,0,12,0,3,1,0
abrahao2018agriculture-operations,17,3,20,0,0,0,2,0,17,3,0,0,2
aguiar2018rdbs-o,39,4,41,2,0,0,0,0,37,4,2,0,0
aguiar2019ooco,51,5,53,3,0,0,0,0,48,5,3,0,0
aires2022valuenetworks-geo,17,3,20,0,0,0,2,0,17,3,0,0,2
albuquerque2011ontobio,103,43,117,20,1,0,0,0,82,35,12,8,0
alkhalaf2024,138,10,120,25,0,0,0,0,110,10,25,0,0
alpinebits2022,45,16,41,16,17,0,0,0,36,5,5,11,0
amaral2019rot,19,22,30,11,1,6,0,0,16,14,3,8,0
amaral2020game-theory,5,2,6,1,1,14,0,0,5,1,0,1,0
amaral2020rome,28,18,31,12,2,0,0,0,25,6,0,12,0
amaral2022ethical-requirements,5,17,19,2,0,2,0,0,2,17,2,0,0
andersson2018value-ascription,0,1,1,0,0,5,7,0,0,1,0,0,7
andrade2023integracao,38,5,27,16,0,0,0,1,25,2,13,3,1
aristotle-ontology2019,171,2,150,23,2,7,0,0,149,1,22,1,0
barcelos2013normative-acts,42,0,42,0,3,0,0,0,42,0,0,0,0
barcelos2015transport-networks,430,57,225,262,0,0,0,0,193,32,237,25,0
barcelos2024resiliont,4,42,5,37,0,10,0,0,0,5,0,37,0
barros2020programming,12,0,12,0,0,0,0,0,12,0,0,0,0
bernasconi2021ontovcm,60,8,45,13,0,12,0,0,42,3,8,5,0
bernasconi2023fair-principles,42,4,36,10,0,0,0,0,33,3,9,1,0
brazilian-governmental-organizational-structures,11,4,12,3,0,0,0,0,8,4,3,0,0
buchtela2020connection,19,0,6,13,0,0,0,0,6,0,13,0,0
buridan-ontology2021,52,2,48,6,0,0,0,0,47,1,5,1,0
carolla2014campus-management,17,0,12,5,0,0,0,0,12,0,5,0,0
castro2012cloudvulnerability,30,2,29,3,0,0,0,0,27,2,3,0,0
cgts2021sebim,28,1,25,4,0,0,0,0,24,1,4,0,0
cmpo2017,24,7,15,16,0,22,0,2,11,4,13,3,2
core-o2023,16,8,16,0,0,6,0,0,8,8,0,0,0
dcat-mlt-ufo2023,14,6,17,2,4,0,0,6,12,5,1,1,6
demori2023miscon,26,5,23,8,0,0,0,0,19,4,7,1,0
derave2019dpo,129,47,114,57,0,81,0,2,111,3,13,44,2
dpo2017,18,4,19,3,0,18,0,0,16,3,2,1,0
duarte2020jogabilidade,12,0,10,2,4,3,0,0,10,0,2,0,0
elghosh2020cargos,7,2,5,4,0,1,0,0,5,0,2,2,0
elghosh2024eucaim,25,1,22,4,0,12,0,0,21,1,4,0,0
elikan2018brand-identity,27,3,30,0,0,0,0,0,27,3,0,0,0
eu-rent-refactored2022,64,2,28,38,0,0,0,0,28,0,36,2,0
falduci2022non-consensual-pornography,19,5,13,11,0,3,0,0,10,3,9,2,0
fernandez-cejas2022curie-o,22,0,10,12,0,7,0,0,10,0,12,0,0
ferreira2015ontoemergeplan,78,50,71,33,2,5,12,0,39,32,15,18,12
fischer2018ontorea,16,0,12,4,0,2,0,0,12,0,4,0,0
fonseca2022incorporating,43,8,25,23,0,0,0,0,23,2,17,6,0
formula-one2023,22,4,14,12,0,0,0,0,13,1,9,3,0
fraller2019abc,39,0,35,4,0,0,0,0,35,0,4,0,0
franco2018rpg,16,4,19,1,0,0,3,0,15,4,1,0,3
fumagalli2022criminal-investigation,10,0,3,7,0,0,0,0,3,0,7,0,0
gailly2016value,2,0,2,0,0,2,8,0,2,0,0,0,8
garcia2022human-genome-events,1,7,1,6,2,9,0,0,0,1,0,6,0
gomes2022digital-technology,4,15,19,0,0,0,0,0,4,15,0,0,0
goncalves2011ecg,111,6,86,31,8,8,0,0,83,3,28,3,0
grueau2013towards,0,0,0,0,0,0,6,7,0,0,0,0,13
guarino2016value,13,5,14,4,0,0,0,0,11,3,2,2,0
guarino2018rea,5,4,6,3,0,2,0,0,5,1,0,3,0
guizzardi2005ontological,32,9,28,13,2,0,0,0,21,7,11,2,0
guizzardi2020decision-making,23,4,19,7,0,3,0,24,19,0,3,4,24
guizzardi2022ufo,53,0,30,21,2,7,0,0,30,0,21,0,0
haridy2021egyptian-e-government,32,0,30,2,0,0,0,0,30,0,2,0,0
heirbrant2023boekbazaar,16,9,16,9,0,17,0,0,16,0,0,9,0
jacobs2022sdpontology,20,1,19,2,13,0,0,0,18,1,2,0,0
junior2018o4c,9,0,9,0,2,0,0,0,9,0,0,0,0
khantong2020ontology,30,0,17,13,0,0,0,0,17,0,13,0,0
kostov2017towards,18,1,9,8,0,23,10,6,8,1,8,0,16
kritz2020ontobg,173,6,179,0,0,0,0,0,173,6,0,0,0
laurier2018rea,17,6,13,10,0,0,0,0,13,0,4,6,0
lindeberg2022full-ontorights,134,25,130,29,0,22,0,4,113,17,21,8,4
lindeberg2022simple-ontorights,23,3,18,8,29,6,0,0,17,1,6,2,0
machacova2023gym,37,4,25,16,0,0,0,0,24,1,13,3,0
maddalena2021ontocovid,64,1,46,19,0,3,6,0,45,1,19,0,6
martinez2013human-genome,10,0,7,3,0,0,0,0,7,0,3,0,0
mgic-antt2011,3391,354,2306,1417,15,0,0,0,2208,98,1161,256,0
moreira2018saref4health,14,1,13,2,1,0,2,1,12,1,2,0,3
nardi2015ufo-s,10,11,13,8,0,6,0,0,10,3,0,8,0
nascimento2023spacecon,5,0,4,1,4,0,7,2,4,0,1,0,9
neves2020nwpontology,28,1,25,4,1,3,2,0,24,1,4,0,2
neves2021grain-production,6,7,13,0,5,0,0,0,6,7,0,0,0
niederkofler2019dssapple,39,14,40,7,6,9,0,0,27,13,6,1,0
o3ontology2015,158,62,97,63,0,13,3,67,65,32,33,30,70
oliveira2007collaboration,9,4,12,1,1,2,4,0,9,3,0,1,4
oliveira2022rose,22,21,15,16,0,20,0,0,10,5,0,16,0
pereira2015doacao-orgaos,20,5,11,14,0,0,0,0,8,3,12,2,0
pereira2020ontotrans,0,35,0,35,0,0,0,0,0,0,0,35,0
piest2024dsr-kb,81,3,73,11,0,0,0,0,72,1,9,2,0
pinheiro2024api,19,0,16,3,4,6,0,0,16,0,3,0,0
plato-ontology2019,69,2,64,7,2,0,0,0,62,2,7,0,0
porello2020coex,10,3,8,2,0,4,0,0,7,1,0,2,0
ppo-o2021,49,2,51,0,0,4,4,0,49,2,0,0,4
public-expense-ontology2020,40,2,34,8,0,0,0,0,33,1,7,1,0
quality-assurance-process-ontology2017,7,0,3,4,0,9,0,21,3,0,4,0,21
ramirez2015userfeedback,44,3,39,8,3,0,0,0,38,1,6,2,0
ramos2021bias,34,9,34,8,0,6,0,0,31,3,2,6,0
repa2021public-administration,24,0,4,20,0,0,1,0,4,0,20,0,1
rocha2023ciencia-aberta,21,3,14,10,0,0,0,0,13,1,8,2,0
rodrigues2017urinary-profiles,25,8,16,17,0,15,15,0,14,2,11,6,15
rodrigues2019ontocrime,34,12,10,36,0,0,0,60,6,4,28,8,60
rodrigues2019turbidite,41,5,12,34,0,29,11,0,11,1,30,4,11
romanenko2023what,52,1,35,18,0,2,0,0,35,0,17,1,0
sales2018competition,16,11,13,13,0,0,0,0,11,2,4,9,0
sales2018cover,19,25,29,13,0,19,0,0,17,12,0,13,0
santos2020valuenetworks,11,4,15,0,0,0,0,0,11,4,0,0,0
sariev2024maritime,78,1,56,23,0,4,0,0,55,1,23,0,0
schoonderbeek2024eamon,47,0,45,2,0,0,0,0,45,0,2,0,0
services2015,19,14,23,10,0,0,0,91,19,4,0,10,91
sikora2021online-education,52,12,64,0,0,0,0,1,52,12,0,0,1
silva2012itarchitecture,75,9,78,6,0,0,0,0,69,9,6,0,0
silva2021sebim,41,1,38,4,0,0,0,0,37,1,4,0,0
silva2023onto4caal,176,12,180,8,4,0,0,1,170,10,6,2,1
