Stereotype,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
characterization,1.0,0.25938199807049633,0.21522672545342175,0.06282947809631947,0.3825341169668364,0.2630535857546341,0.30186405882347206,0.3323127093941901,0.18933342520462398,0.3772421689795126,0.1933980841246222,0.3656740535821278
componentOf,0.25938199807049633,1.0,0.032148943424471846,0.16756306205459878,0.07532553331548088,0.060353575555133286,0.1140388241556184,0.02504172668811352,0.3625033899256317,0.245117412244368,0.42038238008863943,0.006621610770315435
creation,0.21522672545342175,0.032148943424471846,1.0,0.012771048074469266,0.2852020577663282,0.44886274381108426,0.4001170459940352,0.5009064956019814,0.0034045626532066037,0.14898131741049123,0.13710729238612307,0.7257466102345687
derivation,0.06282947809631947,0.16756306205459878,0.012771048074469266,1.0,0.14637084536275205,0.11515519591384848,0.12722587424260945,0.19265415375537548,0.5082151717880387,0.42688905489145784,0.27672939169203153,0.05154010168161277
externalDependence,0.3825341169668364,0.07532553331548088,0.2852020577663282,0.14637084536275205,1.0,0.3671354107281548,0.49828072191946876,0.47163361656137814,0.20018044174040234,0.09158373017229024,0.09292008667142658,0.3844011176960635
historicalDependence,0.2630535857546341,0.060353575555133286,0.44886274381108426,0.11515519591384848,0.3671354107281548,1.0,0.574181444924068,0.6021874987125346,0.00991721736049913,0.04513325833704561,0.036408497808046114,0.614159133246676
instantiation,0.30186405882347206,0.1140388241556184,0.4001170459940352,0.12722587424260945,0.49828072191946876,0.574181444924068,1.0,0.718580794858551,0.13917156801574151,0.014684930405133217,0.036776816929602656,0.5099284588189039
manifestation,0.3323127093941901,0.02504172668811352,0.5009064956019814,0.19265415375537548,0.47163361656137814,0.6021874987125346,0.718580794858551,1.0,0.12429997457415813,0.028085964617505406,0.048448916471664966,0.6040091988772489
material,0.18933342520462398,0.3625033899256317,0.0034045626532066037,0.5082151717880387,0.20018044174040234,0.00991721736049913,0.13917156801574151,0.12429997457415813,1.0,0.38640357628929456,0.2912092269761337,0.037986160077526185
mediation,0.3772421689795126,0.245117412244368,0.14898131741049123,0.42688905489145784,0.09158373017229024,0.04513325833704561,0.014684930405133217,0.028085964617505406,0.38640357628929456,1.0,0.3971683493782957,0.08084644506085786
memberOf,0.1933980841246222,0.42038238008863943,0.13710729238612307,0.27672939169203153,0.09292008667142658,0.036408497808046114,0.036776816929602656,0.048448916471664966,0.2912092269761337,0.3971683493782957,1.0,0.12019691738337282
participation,0.3656740535821278,0.006621610770315435,0.7257466102345687,0.05154010168161277,0.3844011176960635,0.614159133246676,0.5099284588189039,0.6040091988772489,0.037986160077526185,0.08084644506085786,0.12019691738337282,1.0
