Stereotype,average_quantity,rank,proportion
bringsAbout,0,8,0.0
characterization,4,2,0.10256410256410256
comparative,0,8,0.0
componentOf,4,2,0.10256410256410256
creation,0,8,0.0
derivation,1,5,0.02564102564102564
externalDependence,0,8,0.0
historicalDependence,0,8,0.0
instantiation,0,8,0.0
manifestation,0,8,0.0
material,4,2,0.10256410256410256
mediation,24,1,0.6153846153846154
memberOf,1,5,0.02564102564102564
participation,1,5,0.02564102564102564
participational,0,8,0.0
subCollectionOf,0,8,0.0
subQuantityOf,0,8,0.0
termination,0,8,0.0
triggers,0,8,0.0
