Stereotype,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,material,mediation,memberOf,participation
characterization,1.0,0.3002169210972614,0.13501380314868835,0.10986951589759662,0.32979999320208186,0.1971036681041931,0.2610669486119123,0.1894215688710169,0.4060862676357421,0.21286746097378784,0.3005596031168363
componentOf,0.3002169210972614,1.0,0.06274645133094738,0.09131763602703113,-0.008060847223444573,0.10346274269316351,0.18096968381838646,0.30674261129232144,0.19066015552266416,0.4101677026276658,0.0086073087626433
creation,0.13501380314868835,0.06274645133094738,1.0,0.05954892250261267,0.22443611335964456,0.38530035303460997,0.3656469828662782,-0.00154443930340067,0.1228921524016021,0.18027142435421886,0.6901771904808842
derivation,0.10986951589759662,0.09131763602703113,0.05954892250261267,1.0,-0.09586329529540144,-0.1126021380357278,-0.12616558178096982,0.5191790844916552,0.4478025403693703,0.28389289327432243,-0.014378618073024848
externalDependence,0.32979999320208186,-0.008060847223444573,0.22443611335964456,-0.09586329529540144,1.0,0.3852866039661478,0.5493494484303219,-0.2076850980028095,0.0890870806374748,0.11602056973036094,0.337677834885926
historicalDependence,0.1971036681041931,0.10346274269316351,0.38530035303460997,-0.1126021380357278,0.3852866039661478,1.0,0.5442608143964446,-0.00689540848994283,0.09221388919541469,0.10623584913245787,0.5238223114965233
instantiation,0.2610669486119123,0.18096968381838646,0.3656469828662782,-0.12616558178096982,0.5493494484303219,0.5442608143964446,1.0,-0.123756758604817,0.008988968316207744,0.035119746360704654,0.4415547532381304
material,0.1894215688710169,0.30674261129232144,-0.00154443930340067,0.5191790844916552,-0.2076850980028095,-0.00689540848994283,-0.123756758604817,1.0,0.3675975132801129,0.31097148079316217,-0.0366925299549634
mediation,0.4060862676357421,0.19066015552266416,0.1228921524016021,0.4478025403693703,0.0890870806374748,0.09221388919541469,0.008988968316207744,0.3675975132801129,1.0,0.36493797212992807,0.10244389988519646
memberOf,0.21286746097378784,0.4101677026276658,0.18027142435421886,0.28389289327432243,0.11602056973036094,0.10623584913245787,0.035119746360704654,0.31097148079316217,0.36493797212992807,1.0,0.1583393043438422
participation,0.3005596031168363,0.0086073087626433,0.6901771904808842,-0.014378618073024848,0.337677834885926,0.5238223114965233,0.4415547532381304,-0.0366925299549634,0.10244389988519646,0.1583393043438422,1.0
