stereotype,total_correlation,rank
category,2.16248834559142,5
collective,1.6482781454658193,13
datatype,1.409394091593789,14
event,2.3249845877043644,3
kind,2.872351564477708,1
mode,1.8525669151348827,11
phase,1.835837790377666,12
quality,2.0973979365894713,6
relator,1.9943514196400594,10
role,2.064801604967191,8
roleMixin,2.018788796957724,9
situation,2.5460614653745606,2
subkind,2.0849839085726534,7
type,2.191897059465245,4
