Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,83,1,83,11.874105865522175
relator,77,2,160,22.889842632331902
subkind,73,3,233,33.33333333333333
category,69,4,302,43.204577968526465
role,68,5,370,52.93276108726752
mode,45,6,415,59.370529327610875
event,45,7,460,65.80829756795423
roleMixin,42,8,502,71.81688125894135
quality,36,9,538,76.96709585121603
phase,31,10,569,81.40200286123033
collective,25,11,594,84.97854077253218
datatype,21,12,615,87.98283261802575
situation,19,13,634,90.70100143061516
type,19,14,653,93.41917024320458
mixin,15,15,668,95.56509298998569
phaseMixin,8,16,676,96.70958512160229
quantity,8,17,684,97.85407725321889
enumeration,7,18,691,98.85550786838341
historicalRole,4,19,695,99.4277539341917
historicalRoleMixin,3,20,698,99.85693848354794
abstract,1,21,699,100.0
