model,total_classes,stereotyped_classes,non_stereotyped_classes,ontouml_classes,non_ontouml_classes,total_relations,stereotyped_relations,non_stereotyped_relations,ontouml_relations,non_ontouml_relations,ratio_classes_relations,ratio_stereotyped_classes_relations,ratio_stereotyped_classes_total,ratio_non_stereotyped_classes_total,ratio_stereotyped_relations_total,ratio_non_stereotyped_relations_total,ratio_ontouml_classes_total,ratio_non_ontouml_classes_total,ratio_ontouml_relations_total,ratio_non_ontouml_relations_total,unique_class_stereotypes,unique_relation_stereotypes
library,43,43,0,43,0,45,44,1,43,2,0.9555555555555556,0.9772727272727273,1.0,0.0,0.9777777777777777,0.022222222222222223,1.0,0.0,0.9555555555555556,0.044444444444444446,6,4
music-ontology,42,42,0,42,0,15,14,1,13,2,2.8,3.0,1.0,0.0,0.9333333333333333,0.06666666666666667,1.0,0.0,0.8666666666666667,0.13333333333333333,8,4
online-mentoring,29,29,0,29,0,16,16,0,16,0,1.8125,1.8125,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5,4
parking-business2013,50,50,0,50,0,21,21,0,13,8,2.380952380952381,2.380952380952381,1.0,0.0,1.0,0.0,1.0,0.0,0.6190476190476191,0.38095238095238093,8,3
photography,18,18,0,18,0,11,11,0,11,0,1.6363636363636365,1.6363636363636365,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5,3
project-assets2013,19,19,0,19,0,28,28,0,27,1,0.6785714285714286,0.6785714285714286,1.0,0.0,1.0,0.0,1.0,0.0,0.9642857142857143,0.03571428571428571,6,4
project-management-ontology,14,14,0,14,0,7,7,0,5,2,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7142857142857143,0.2857142857142857,7,3
public-organization2013,46,46,0,46,0,31,31,0,31,0,1.4838709677419355,1.4838709677419355,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7,5
public-tender,71,71,0,71,0,39,39,0,38,1,1.8205128205128205,1.8205128205128205,1.0,0.0,1.0,0.0,1.0,0.0,0.9743589743589743,0.02564102564102564,6,2
qam,41,41,0,41,0,20,20,0,15,5,2.05,2.05,1.0,0.0,1.0,0.0,1.0,0.0,0.75,0.25,8,3
real-estate-ontology,15,15,0,15,0,5,5,0,5,0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4,1
recommendation-ontology,18,18,0,18,0,10,10,0,7,3,1.8,1.8,1.0,0.0,1.0,0.0,1.0,0.0,0.7,0.3,4,3
road-accident2013,15,15,0,15,0,8,8,0,8,0,1.875,1.875,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4,3
scientific-experiment2013,20,20,0,20,0,24,24,0,14,10,0.8333333333333334,0.8333333333333334,1.0,0.0,1.0,0.0,1.0,0.0,0.5833333333333334,0.4166666666666667,3,3
scientific-publication2013,55,55,0,55,0,18,18,0,18,0,3.0555555555555554,3.0555555555555554,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7,3
short-examples2013,35,35,0,35,0,19,15,4,13,6,1.8421052631578947,2.3333333333333335,1.0,0.0,0.7894736842105263,0.21052631578947367,1.0,0.0,0.6842105263157895,0.3157894736842105,4,3
social-contract,33,33,0,33,0,33,33,0,28,5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8484848484848485,0.15151515151515152,5,5
social-contracts2013,33,33,0,33,0,36,36,0,28,8,0.9166666666666666,0.9166666666666666,1.0,0.0,1.0,0.0,1.0,0.0,0.7777777777777778,0.2222222222222222,5,5
sousa2022triponto,44,44,0,44,0,36,35,1,35,1,1.2222222222222223,1.2571428571428571,1.0,0.0,0.9722222222222222,0.027777777777777776,1.0,0.0,0.9722222222222222,0.027777777777777776,8,3
sportbooking2021,37,37,0,37,0,38,30,8,29,9,0.9736842105263158,1.2333333333333334,1.0,0.0,0.7894736842105263,0.21052631578947367,1.0,0.0,0.7631578947368421,0.23684210526315788,7,3
srro-ontology,20,20,0,20,0,15,0,15,0,15,1.3333333333333333,nan,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5,0
stock-broker2021,14,14,0,14,0,6,6,0,6,0,2.3333333333333335,2.3333333333333335,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5,1
telecom-equipment2013,34,34,0,34,0,41,41,0,41,0,0.8292682926829268,0.8292682926829268,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5,3
tender2013,84,84,0,84,0,43,43,0,41,2,1.9534883720930232,1.9534883720930232,1.0,0.0,1.0,0.0,1.0,0.0,0.9534883720930233,0.046511627906976744,6,2
tourbo2021,49,49,0,49,0,21,14,7,14,7,2.3333333333333335,3.5,1.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.6666666666666666,0.3333333333333333,8,4
unimatch-ontology2022,34,34,0,34,0,22,18,4,18,4,1.5454545454545454,1.8888888888888888,1.0,0.0,0.8181818181818182,0.18181818181818182,1.0,0.0,0.8181818181818182,0.18181818181818182,5,5
university-ontology,32,32,0,32,0,33,19,14,19,14,0.9696969696969697,1.6842105263157894,1.0,0.0,0.5757575757575758,0.42424242424242425,1.0,0.0,0.5757575757575758,0.42424242424242425,7,5
