Stereotype,x_value,y_value,quadrant
bringsAbout,30,12,Q3
characterization,400,57,Q1
comparative,22,5,Q3
componentOf,233,32,Q1
creation,60,18,Q1
derivation,106,30,Q1
externalDependence,69,20,Q1
historicalDependence,44,16,Q3
instantiation,69,17,Q1
manifestation,34,12,Q3
material,325,38,Q1
mediation,641,62,Q1
memberOf,73,21,Q1
participation,207,28,Q1
participational,17,4,Q3
subCollectionOf,8,2,Q3
subQuantityOf,11,2,Q3
termination,5,3,Q3
triggers,16,10,Q3
