Stereotype,x_value,y_value,quadrant
bringsAbout,0.3260869565217391,12,Q3
characterization,4.3478260869565215,57,Q1
comparative,0.2391304347826087,5,Q3
componentOf,2.532608695652174,32,Q1
creation,0.6521739130434783,18,Q1
derivation,1.1521739130434785,30,Q1
externalDependence,0.75,20,Q1
historicalDependence,0.4782608695652174,16,Q3
instantiation,0.75,17,Q1
manifestation,0.3695652173913043,12,Q3
material,3.532608695652174,38,Q1
mediation,6.967391304347826,62,Q1
memberOf,0.7934782608695652,21,Q1
participation,2.25,28,Q1
participational,0.1847826086956521,4,Q3
subCollectionOf,0.0869565217391304,2,Q3
subQuantityOf,0.1195652173913043,2,Q3
termination,0.0543478260869565,3,Q3
triggers,0.1739130434782608,10,Q3
