Stereotype,x_value,y_value,quadrant
bringsAbout,30,0.1304347826086956,Q3
characterization,400,0.6195652173913043,Q1
comparative,22,0.0543478260869565,Q3
componentOf,233,0.3478260869565217,Q1
creation,60,0.1956521739130435,Q1
derivation,106,0.3260869565217391,Q1
externalDependence,69,0.217391304347826,Q1
historicalDependence,44,0.1739130434782608,Q3
instantiation,69,0.1847826086956521,Q1
manifestation,34,0.1304347826086956,Q3
material,325,0.4130434782608695,Q1
mediation,641,0.6739130434782609,Q1
memberOf,73,0.2282608695652173,Q1
participation,207,0.3043478260869565,Q1
participational,17,0.0434782608695652,Q3
subCollectionOf,8,0.0217391304347826,Q3
subQuantityOf,11,0.0217391304347826,Q3
termination,5,0.0326086956521739,Q3
triggers,16,0.108695652173913,Q3
