Stereotype,DistanceFromOrigin,Rank
mediation,641.0000198150943,1
characterization,400.0000268386401,2
material,325.0000146809657,3
componentOf,233.00001452161183,4
participation,207.00001251458653,5
derivation,106.00002805481365,6
memberOf,73.00001996119198,7
externalDependence,69.00001915497731,8
instantiation,69.00001383947165,9
creation,60.00001784286119,10
historicalDependence,44.00001922463024,11
manifestation,34.000013994400135,12
bringsAbout,30.000015860319227,13
comparative,22.000003754811093,14
participational,17.000003109867052,15
triggers,16.000020651449457,16
subQuantityOf,11.000001201539588,17
subCollectionOf,8.000001652116852,18
termination,5.000005947617744,19
