Stereotype,average_quantity,rank,proportion
abstract,0,7,0.0
category,0,7,0.0
collective,1,5,0.034482758620689655
datatype,0,7,0.0
enumeration,0,7,0.0
event,0,7,0.0
historicalRole,0,7,0.0
historicalRoleMixin,0,7,0.0
kind,12,1,0.41379310344827586
mixin,0,7,0.0
mode,0,7,0.0
phase,1,5,0.034482758620689655
phaseMixin,0,7,0.0
quality,0,7,0.0
quantity,0,7,0.0
relator,4,4,0.13793103448275862
role,6,2,0.20689655172413793
roleMixin,0,7,0.0
situation,0,7,0.0
subkind,5,3,0.1724137931034483
type,0,7,0.0
none,0,7,0.0
other,0,7,0.0
