Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
kind,157,1,157,15.684315684315683
subkind,148,2,305,30.46953046953047
event,121,3,426,42.557442557442556
role,95,4,521,52.04795204795205
relator,85,5,606,60.53946053946054
category,72,6,678,67.73226773226774
other,55,7,733,73.22677322677322
mode,55,8,788,78.72127872127872
roleMixin,54,9,842,84.11588411588411
none,53,10,895,89.41058941058941
phase,24,11,919,91.80819180819181
collective,16,12,935,93.4065934065934
situation,15,13,950,94.9050949050949
quality,13,14,963,96.2037962037962
enumeration,10,15,973,97.2027972027972
quantity,10,16,983,98.20179820179821
datatype,7,17,990,98.9010989010989
mixin,6,18,996,99.5004995004995
type,5,19,1001,100.0
historicalRole,0,20,1001,100.0
abstract,0,21,1001,100.0
phaseMixin,0,22,1001,100.0
historicalRoleMixin,0,23,1001,100.0
