stereotype,total_correlation,rank
category,2.495982262486008,5
collective,2.0072728642993223,11
event,3.0214366870240905,2
kind,3.4256323737238388,1
mode,1.9732540174357713,12
phase,1.6965186909091097,13
quality,2.026499974704895,10
relator,2.11346515855376,9
role,1.687876799258028,14
roleMixin,2.8083760472164823,3
situation,2.601263187498519,4
subkind,2.3958068135589365,6
none,2.2919681869639077,7
other,2.1702811994601854,8
