Stereotype,DistanceFromOrigin,Rank
kind,24.014264488629365,1
role,22.013075781243586,2
relator,20.011887073857803,3
category,20.011887073857803,3
subkind,19.011292720164914,4
roleMixin,14.008320951700464,5
mode,12.007132244314683,6
event,12.007132244314683,6
collective,9.005349183236012,7
mixin,8.004754829543122,8
phase,8.004754829543122,8
none,7.004160475850232,9
other,7.004160475850232,9
datatype,6.003566122157341,10
type,6.003566122157341,10
quantity,5.002971768464451,11
situation,4.002377414771561,12
enumeration,3.0017830610786707,13
quality,2.0011887073857806,14
historicalRoleMixin,0.0,15
phaseMixin,0.0,15
abstract,0.0,15
historicalRole,0.0,15
