Stereotype,DistanceFromOrigin,Rank
role,49.51735434115056,1
subkind,35.034601842805536,2
relator,31.20704468468846,3
kind,23.241665728961685,4
roleMixin,10.724349149915641,5
category,9.828056583888472,6
mode,9.586380498700368,7
none,7.8621409933878885,8
type,4.689743888181865,9
phase,4.655331297779045,10
event,4.414170132925828,11
mixin,2.3106649502459606,12
collective,2.2417969219296414,13
other,2.000283125300253,14
quantity,1.138184908910735,15
enumeration,0.7932345837234985,16
situation,0.3797975252400013,17
datatype,0.34603202857682214,18
quality,0.31049374813482844,19
historicalRoleMixin,0.0,20
phaseMixin,0.0,20
abstract,0.0,20
historicalRole,0.0,20
