Stereotype,DistanceFromOrigin,Rank
subkind,2024.913084554495,1
role,1846.9112052288815,2
kind,1589.2126981622064,3
relator,1250.3159600676943,4
category,588.3196410115847,5
roleMixin,578.5257124795751,6
mode,546.0888206143759,7
event,476.95387617672213,8
none,380.69541631072997,9
phase,334.5220471060166,10
quality,254.82739256210272,11
type,214.5809870421888,12
collective,136.56134152826706,13
other,111.6288493177279,14
datatype,91.76055797563569,15
mixin,86.83317338436964,16
situation,81.74350127074322,17
enumeration,63.50590523722971,18
quantity,45.60701700396552,19
historicalRole,23.345235059857504,20
phaseMixin,21.540659228538015,21
historicalRoleMixin,9.486832980505138,22
abstract,1.4142135623730951,23
