construct,x_value,y_value,quadrant
abstract,1,0.001101321585903,Q3
category,86,0.0947136563876652,Q1
collective,35,0.0385462555066079,Q1
datatype,26,0.0286343612334801,Q1
enumeration,8,0.0088105726872246,Q3
event,53,0.0583700440528634,Q1
historicalRole,4,0.0044052863436123,Q3
historicalRoleMixin,3,0.0033039647577092,Q3
kind,101,0.1112334801762114,Q1
mixin,22,0.0242290748898678,Q3
mode,58,0.0638766519823788,Q1
phase,41,0.0451541850220264,Q1
phaseMixin,8,0.0088105726872246,Q3
quality,44,0.0484581497797356,Q1
quantity,12,0.013215859030837,Q3
relator,91,0.1002202643171806,Q1
role,84,0.092511013215859,Q1
roleMixin,54,0.0594713656387665,Q1
situation,21,0.0231277533039647,Q3
subkind,88,0.0969162995594713,Q1
type,26,0.0286343612334801,Q1
none,23,0.0253303964757709,Q3
other,19,0.0209251101321585,Q3
