construct,x_value,y_value,quadrant
abstract,1,9.341429238673515e-05,Q3
category,582,0.0543671181690798,Q1
collective,132,0.012330686595049,Q3
datatype,88,0.0082204577300326,Q3
enumeration,63,0.0058851004203643,Q3
event,474,0.0442783745913124,Q1
historicalRole,23,0.0021485287248949,Q3
historicalRoleMixin,9,0.0008407286314806,Q3
kind,1586,0.148155067725362,Q1
mixin,84,0.0078468005604857,Q3
mode,543,0.0507239607659971,Q1
phase,332,0.031013545072396,Q1
phaseMixin,20,0.0018682858477347,Q3
quality,251,0.0234469873890705,Q1
quantity,44,0.0041102288650163,Q3
relator,1247,0.1164876226062587,Q1
role,1845,0.1723493694535263,Q1
roleMixin,576,0.0538066324147594,Q1
situation,79,0.007379729098552,Q3
subkind,2023,0.1889771134983652,Q1
type,213,0.0198972442783745,Q1
none,380,0.0354974311069593,Q1
other,110,0.0102755721625408,Q3
