construct,x_value,y_value,quadrant
abstract,1,9.341429238673515e-05,Q3
category,86,0.0543671181690798,Q1
collective,35,0.012330686595049,Q4
datatype,26,0.0082204577300326,Q4
enumeration,8,0.0058851004203643,Q3
event,53,0.0442783745913124,Q1
historicalRole,4,0.0021485287248949,Q3
historicalRoleMixin,3,0.0008407286314806,Q3
kind,101,0.148155067725362,Q1
mixin,22,0.0078468005604857,Q3
mode,58,0.0507239607659971,Q1
phase,41,0.031013545072396,Q1
phaseMixin,8,0.0018682858477347,Q3
quality,44,0.0234469873890705,Q1
quantity,12,0.0041102288650163,Q3
relator,91,0.1164876226062587,Q1
role,84,0.1723493694535263,Q1
roleMixin,54,0.0538066324147594,Q1
situation,21,0.007379729098552,Q3
subkind,88,0.1889771134983652,Q1
type,26,0.0198972442783745,Q1
none,23,0.0354974311069593,Q2
other,19,0.0102755721625408,Q3
