construct,x_value,y_value,quadrant
abstract,0.0082644628099173,0.001101321585903,Q3
category,0.7107438016528925,0.0947136563876652,Q1
collective,0.2892561983471074,0.0385462555066079,Q1
datatype,0.2148760330578512,0.0286343612334801,Q1
enumeration,0.0661157024793388,0.0088105726872246,Q3
event,0.4380165289256198,0.0583700440528634,Q1
historicalRole,0.0330578512396694,0.0044052863436123,Q3
historicalRoleMixin,0.024793388429752,0.0033039647577092,Q3
kind,0.8347107438016529,0.1112334801762114,Q1
mixin,0.1818181818181818,0.0242290748898678,Q3
mode,0.4793388429752066,0.0638766519823788,Q1
phase,0.3388429752066115,0.0451541850220264,Q1
phaseMixin,0.0661157024793388,0.0088105726872246,Q3
quality,0.3636363636363636,0.0484581497797356,Q1
quantity,0.0991735537190082,0.013215859030837,Q3
relator,0.7520661157024794,0.1002202643171806,Q1
role,0.6942148760330579,0.092511013215859,Q1
roleMixin,0.4462809917355372,0.0594713656387665,Q1
situation,0.1735537190082644,0.0231277533039647,Q3
subkind,0.7272727272727273,0.0969162995594713,Q1
type,0.2148760330578512,0.0286343612334801,Q1
none,0.1900826446280991,0.0253303964757709,Q3
other,0.1570247933884297,0.0209251101321585,Q3
