construct,x_value,y_value,quadrant
abstract,1,0.0082644628099173,Q3
category,86,0.7107438016528925,Q1
collective,35,0.2892561983471074,Q1
datatype,26,0.2148760330578512,Q1
enumeration,8,0.0661157024793388,Q3
event,53,0.4380165289256198,Q1
historicalRole,4,0.0330578512396694,Q3
historicalRoleMixin,3,0.024793388429752,Q3
kind,101,0.8347107438016529,Q1
mixin,22,0.1818181818181818,Q3
mode,58,0.4793388429752066,Q1
phase,41,0.3388429752066115,Q1
phaseMixin,8,0.0661157024793388,Q3
quality,44,0.3636363636363636,Q1
quantity,12,0.0991735537190082,Q3
relator,91,0.7520661157024794,Q1
role,84,0.6942148760330579,Q1
roleMixin,54,0.4462809917355372,Q1
situation,21,0.1735537190082644,Q3
subkind,88,0.7272727272727273,Q1
type,26,0.2148760330578512,Q1
none,23,0.1900826446280991,Q3
other,19,0.1570247933884297,Q3
