construct,x_value,y_value,quadrant
abstract,0.0082644628099173,0.001101321585903,Q3
category,4.809917355371901,0.0947136563876652,Q1
collective,1.0909090909090908,0.0385462555066079,Q2
datatype,0.7272727272727273,0.0286343612334801,Q2
enumeration,0.5206611570247934,0.0088105726872246,Q3
event,3.9173553719008254,0.0583700440528634,Q1
historicalRole,0.1900826446280991,0.0044052863436123,Q3
historicalRoleMixin,0.0743801652892562,0.0033039647577092,Q3
kind,13.107438016528926,0.1112334801762114,Q1
mixin,0.6942148760330579,0.0242290748898678,Q3
mode,4.487603305785124,0.0638766519823788,Q1
phase,2.743801652892562,0.0451541850220264,Q1
phaseMixin,0.1652892561983471,0.0088105726872246,Q3
quality,2.074380165289256,0.0484581497797356,Q1
quantity,0.3636363636363636,0.013215859030837,Q3
relator,10.305785123966942,0.1002202643171806,Q1
role,15.24793388429752,0.092511013215859,Q1
roleMixin,4.760330578512397,0.0594713656387665,Q1
situation,0.6528925619834711,0.0231277533039647,Q3
subkind,16.71900826446281,0.0969162995594713,Q1
type,1.7603305785123966,0.0286343612334801,Q1
none,3.1404958677685952,0.0253303964757709,Q4
other,0.9090909090909092,0.0209251101321585,Q3
