stereotype,total_correlation,rank
category,3.6047651355211863,13
datatype,1.9487337797421362,21
event,4.660966147180951,7
kind,4.857835991733727,6
mode,3.5703664001393323,14
phase,2.5205618183056138,20
quality,3.9660289952842356,10
relator,3.6961442152250394,12
role,3.5075026097006687,15
roleMixin,3.7588995643643264,11
situation,4.308997019486934,8
subkind,3.1322312700218613,17
type,5.57278723774513,2
characterization,5.020499099960819,4
componentOf,3.027657247280441,18
derivation,2.8561088376717807,19
externalDependence,4.946121989366754,5
instantiation,5.838361189021702,1
material,3.3069061352623903,16
mediation,4.205008946617293,9
participation,5.548981517758861,3
