stereotype,total_correlation_occurrence_wise,rank_total_correlation_occurrence_wise
category,2.2849067018335845,5
collective,1.8395647657351613,11
datatype,1.129553214018633,14
event,3.003215742100859,1
kind,2.6940748143377924,3
mode,1.3462104159148782,13
phase,1.6677224943270148,12
quality,2.169884074750746,7
relator,2.2482620600733187,6
role,2.413547956358256,4
roleMixin,2.0689055299289665,9
situation,2.719929419506148,2
subkind,2.0181971877994047,10
type,2.131297560789042,8
