stereotype,geometric_mean_correlation,rank
category,2.1857543355101106,6
collective,1.793116076745627,11
datatype,1.1902411111058646,14
event,2.95443552730913,1
kind,2.700245648093447,2
mode,1.4473906407053947,13
phase,1.7484470649532082,12
quality,2.1937933080726557,5
relator,1.968547607524264,8
role,2.2704569219349304,4
roleMixin,1.948507612939858,9
situation,2.661369640149792,3
subkind,1.8445667375959736,10
type,2.1554081549609765,7
