stereotype,total_correlation,rank
bringsAbout,3.2190739230192253,5
characterization,2.6621636639371373,10
componentOf,2.222327425800963,14
creation,2.744840504815051,8
derivation,2.585631193370561,11
externalDependence,3.0888114493350294,6
historicalDependence,3.4626549094535752,4
instantiation,4.342553208455897,2
manifestation,4.452848742298982,1
material,2.7131038170626356,9
mediation,2.494487037147812,12
memberOf,2.3204848253374055,13
participation,4.008863527083856,3
triggers,3.0810878233396632,7
none,1.4282924152868066,16
other,2.079100362135133,15
