Stereotype,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,triggers,none,other
bringsAbout,1.0,0.22812937284069357,0.08234111154840207,0.10711239569098734,-0.028398091712353243,0.13912166872805048,0.3335295436878062,0.2085872968719227,0.27597065063085047,0.1614950714280729,-0.24165376543239367,-0.0958374066708834,0.5182646432752366,0.6247580176717713,0.04516129032258064,-0.12871359650722103
characterization,0.22812937284069357,1.0,0.32696955654783966,0.018122009407318746,-0.06085806194501845,0.3147058634999704,0.13984532338254546,0.2355861222951437,0.249191439603738,0.22666415081076222,0.20766159079386382,0.09061004703659373,0.20240972548199596,0.27386127875258304,-0.06221710168382552,0.02533201985524494
componentOf,0.08234111154840207,0.32696955654783966,1.0,0.05502106423976303,-0.1492405014489273,0.034815531191139566,0.15894937743488802,0.28357010031262486,0.30496056856744314,0.19296514486118194,0.13112773366491715,0.28357010031262486,0.01818181818181818,-0.1385804656311468,0.004843594796964827,0.05719075706128208
creation,0.10711239569098734,0.018122009407318746,0.05502106423976303,1.0,0.024814583349273257,0.20261022461827694,0.31678478323850257,0.3793103448275862,0.3766218577010349,-0.045713722783439326,0.035541761184659994,0.2019704433497537,0.6644851604340613,-0.06203645837318314,0.19731230785181877,0.057383387765391765
derivation,-0.028398091712353243,-0.06085806194501845,-0.1492405014489273,0.024814583349273257,1.0,-0.13608276348795434,-0.17872502241585786,-0.19851666679418606,-0.21838043617304562,0.44052895230480027,0.42126273187113467,0.17370208344491278,-0.08528028654224418,0.125,0.11359236684941297,0.23124864503144013
externalDependence,0.13912166872805048,0.3147058634999704,0.034815531191139566,0.20261022461827694,-0.13608276348795434,1.0,0.3127036494188124,0.52678658400752,0.3789021188881942,-0.2779425689573285,-0.017197979012252743,0.12156613477096616,0.24370871833797697,0.2041241452319315,0.046373889576016826,0.13216960960863816
historicalDependence,0.3335295436878062,0.13984532338254546,0.15894937743488802,0.31678478323850257,-0.17872502241585786,0.3127036494188124,1.0,0.4992528183838801,0.5032088376580955,-0.01738273112835931,0.011831315759471066,0.1343167480931251,0.47249335484069455,0.293619679683195,0.08410745014735982,-0.005904274180982985
instantiation,0.2085872968719227,0.2355861222951437,0.28357010031262486,0.3793103448275862,-0.19851666679418606,0.52678658400752,0.4992528183838801,1.0,0.7667912642402366,-0.1888175506272494,-0.11498805089154705,0.024630541871921183,0.4359361243611994,0.16129479177027617,0.0958374066708834,0.22264754452972005
manifestation,0.27597065063085047,0.249191439603738,0.30496056856744314,0.3766218577010349,-0.21838043617304562,0.3789021188881942,0.5032088376580955,0.7667912642402366,1.0,-0.11260112715194592,-0.12304403358566232,0.08399480279663368,0.4725724841159615,0.21838043617304562,0.0589150827189456,0.30931360229414917
material,0.1614950714280729,0.22666415081076222,0.19296514486118194,-0.045713722783439326,0.44052895230480027,-0.2779425689573285,-0.01738273112835931,-0.1888175506272494,-0.11260112715194592,1.0,0.38043578132831035,0.2404939329041808,-0.05293734062563398,0.07008415150303642,-0.1614950714280729,0.14354651922026157
mediation,-0.24165376543239367,0.20766159079386382,0.13112773366491715,0.035541761184659994,0.42126273187113467,-0.017197979012252743,0.011831315759471066,-0.11498805089154705,-0.12304403358566232,0.38043578132831035,1.0,0.33660138533707407,-0.06286946134619316,-0.13691038785811876,-0.10288229617418741,0.17047876290802486
memberOf,-0.0958374066708834,0.09061004703659373,0.28357010031262486,0.2019704433497537,0.17370208344491278,0.12156613477096616,0.1343167480931251,0.024630541871921183,0.08399480279663368,0.2404939329041808,0.33660138533707407,1.0,0.1312040762640503,-0.17370208344491278,-0.005637494510051965,0.22264754452972005
participation,0.5182646432752366,0.20240972548199596,0.01818181818181818,0.6644851604340613,-0.08528028654224418,0.24370871833797697,0.47249335484069455,0.4359361243611994,0.4725724841159615,-0.05293734062563398,-0.06286946134619316,0.1312040762640503,1.0,0.34112114616897665,0.1792130074876986,0.128186179620115
triggers,0.6247580176717713,0.27386127875258304,-0.1385804656311468,-0.06203645837318314,0.125,0.2041241452319315,0.293619679683195,0.16129479177027617,0.21838043617304562,0.07008415150303642,-0.13691038785811876,-0.17370208344491278,0.34112114616897665,1.0,0.1419904585617662,0.11562432251572007
none,0.04516129032258064,-0.06221710168382552,0.004843594796964827,0.19731230785181877,0.11359236684941297,0.046373889576016826,0.08410745014735982,0.0958374066708834,0.0589150827189456,-0.1614950714280729,-0.10288229617418741,-0.005637494510051965,0.1792130074876986,0.1419904585617662,1.0,0.12871359650722103
other,-0.12871359650722103,0.02533201985524494,0.05719075706128208,0.057383387765391765,0.23124864503144013,0.13216960960863816,-0.005904274180982985,0.22264754452972005,0.30931360229414917,0.14354651922026157,0.17047876290802486,0.22264754452972005,0.128186179620115,0.11562432251572007,0.12871359650722103,1.0
