Stereotype,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.27474031039720237,0.030348204583083547,0.08680861568950059,0.3439681997255003,0.1700399431179822,0.25698565982757426,0.30109266851583694,0.20753803870169113,0.14514495038676634,0.043710553898762036,0.20885475695979253,0.019030789232944424,0.010696689964114832
componentOf,0.27474031039720237,1.0,0.052532987563940745,0.14454056989480552,0.04701081056513953,0.13135286950597388,0.2662593408074023,0.26731863481092305,0.22677513121394247,0.18354564916906432,0.2787749455375197,0.007384849280954898,0.025772434496142888,0.027779968405600017
creation,0.030348204583083547,0.052532987563940745,1.0,0.025749842053874074,0.1916600852856714,0.3145612809477506,0.3689143363927849,0.38704918062533605,0.03681325287284638,0.06044226994688292,0.19875509755432536,0.6517221136692806,0.07649856131985275,0.05656484251610105
derivation,0.08680861568950059,0.14454056989480552,0.025749842053874074,1.0,0.13204214301901843,0.173729787957783,0.20647986011841044,0.22369845478464367,0.3710627477349958,0.34400567149524836,0.15223283677308677,0.09831581685108579,0.10962642061189719,0.22935236847316642
externalDependence,0.3439681997255003,0.04701081056513953,0.1916600852856714,0.13204214301901843,1.0,0.30705368637644614,0.5056473193864245,0.38978825031656433,0.2814712186346732,0.025778890637055643,0.12468810934928937,0.2396070446868587,0.039936112240362344,0.11715376551887813
historicalDependence,0.1700399431179822,0.13135286950597388,0.3145612809477506,0.173729787957783,0.30705368637644614,1.0,0.5143042513173611,0.5056966939225265,0.007418780554126208,0.01775055271991965,0.1287437491674493,0.509806951381243,0.12742537522619707,0.004450122121066717
instantiation,0.25698565982757426,0.2662593408074023,0.3689143363927849,0.20647986011841044,0.5056473193864245,0.5143042513173611,1.0,0.7673928882333865,0.17219375958735736,0.053799516815862605,0.02792442573026801,0.46050044483444713,0.09416320699295842,0.20629787670797994
manifestation,0.30109266851583694,0.26731863481092305,0.38704918062533605,0.22369845478464367,0.38978825031656433,0.5056966939225265,0.7673928882333865,1.0,0.11042840087774189,0.03393968208824333,0.0700087374831212,0.5163866295863443,0.042105773873515426,0.3025017023619447
material,0.20753803870169113,0.22677513121394247,0.03681325287284638,0.3710627477349958,0.2814712186346732,0.007418780554126208,0.17219375958735736,0.11042840087774189,1.0,0.3429440364531125,0.22540083666173746,0.04906948749859695,0.24316518942466356,0.10522403514470945
mediation,0.14514495038676634,0.18354564916906432,0.06044226994688292,0.34400567149524836,0.025778890637055643,0.01775055271991965,0.053799516815862605,0.03393968208824333,0.3429440364531125,1.0,0.3442629807623804,0.08392219423516223,0.16541428759808083,0.12275917917427555
memberOf,0.043710553898762036,0.2787749455375197,0.19875509755432536,0.15223283677308677,0.12468810934928937,0.1287437491674493,0.02792442573026801,0.0700087374831212,0.22540083666173746,0.3442629807623804,1.0,0.13790847113371185,0.041032440886243776,0.21872871324862306
participation,0.20885475695979253,0.007384849280954898,0.6517221136692806,0.09831581685108579,0.2396070446868587,0.509806951381243,0.46050044483444713,0.5163866295863443,0.04906948749859695,0.08392219423516223,0.13790847113371185,1.0,0.07558091395288993,0.13784584059215974
none,0.019030789232944424,0.025772434496142888,0.07649856131985275,0.10962642061189719,0.039936112240362344,0.12742537522619707,0.09416320699295842,0.042105773873515426,0.24316518942466356,0.16541428759808083,0.041032440886243776,0.07558091395288993,1.0,0.07168722520737189
other,0.010696689964114832,0.027779968405600017,0.05656484251610105,0.22935236847316642,0.11715376551887813,0.004450122121066717,0.20629787670797994,0.3025017023619447,0.10522403514470945,0.12275917917427555,0.21872871324862306,0.13784584059215974,0.07168722520737189,1.0
