Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.4570281124497992,2,0.3246753246753247
20.0,4,0.7871485943775101,4,0.6147186147186147
30.0,6,0.9004016064257028,6,0.7922077922077922
40.0,8,0.9550200803212852,8,0.9004329004329005
50.0,10,0.9879518072289156,10,0.9653679653679653
60.0,12,0.9943775100401606,12,0.987012987012987
70.0,14,0.9991967871485944,14,0.9956709956709957
80.0,16,1.0,16,1.0
90.0,18,1.0,18,1.0
100.0,21,1.0,21,1.0
