Stereotype,category,collective,datatype,kind,mode,phase,relator,role,roleMixin,subkind
category,1.0,0.032342987984708395,0.17774837984085287,0.06850544126637778,0.15007053028831138,0.2337908201032788,0.08196044219964063,0.18286711089518584,0.04285088052792757,0.06260991517432928
collective,0.032342987984708395,1.0,0.14401106246578468,0.1570866011181293,0.06680477351104966,0.028659334627216305,0.11828698936044252,0.043020527542213985,0.07602079267526116,0.08546786330391047
datatype,0.17774837984085287,0.14401106246578468,1.0,0.06788581662636371,0.06431856105184232,0.327301721269647,0.03779209755940968,0.02753382053703043,0.14032127180626738,0.07976150176823533
kind,0.06850544126637778,0.1570866011181293,0.06788581662636371,1.0,0.16127631650630464,0.14226712026158295,0.025750510073195905,0.07777131801065701,0.10411827386757398,0.31538770097814445
mode,0.15007053028831138,0.06680477351104966,0.06431856105184232,0.16127631650630464,1.0,0.1389655871214845,0.4355378223717601,0.3176968983308541,0.022110670643282614,0.2539861868442974
phase,0.2337908201032788,0.028659334627216305,0.327301721269647,0.14226712026158295,0.1389655871214845,1.0,0.13051983764593786,0.11457823922385751,0.21034517378801537,0.325532068552188
relator,0.08196044219964063,0.11828698936044252,0.03779209755940968,0.025750510073195905,0.4355378223717601,0.13051983764593786,1.0,0.5276798244121594,0.2160273871008061,0.1779416064927734
role,0.18286711089518584,0.043020527542213985,0.02753382053703043,0.07777131801065701,0.3176968983308541,0.11457823922385751,0.5276798244121594,1.0,0.09851260723035592,0.08283354182155382
roleMixin,0.04285088052792757,0.07602079267526116,0.14032127180626738,0.10411827386757398,0.022110670643282614,0.21034517378801537,0.2160273871008061,0.09851260723035592,1.0,0.08609115959663087
subkind,0.06260991517432928,0.08546786330391047,0.07976150176823533,0.31538770097814445,0.2539861868442974,0.325532068552188,0.1779416064927734,0.08283354182155382,0.08609115959663087,1.0
