Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
kind,292,1,292,23.453815261044177
role,277,2,569,45.70281124497992
subkind,227,3,796,63.93574297188756
relator,184,4,980,78.714859437751
phase,83,5,1063,85.38152610441767
collective,58,6,1121,90.04016064257027
category,36,7,1157,92.93172690763052
datatype,32,8,1189,95.50200803212851
roleMixin,24,9,1213,97.429718875502
mode,17,10,1230,98.79518072289156
enumeration,4,11,1234,99.11646586345381
quality,4,12,1238,99.43775100401606
mixin,4,13,1242,99.75903614457832
type,2,14,1244,99.91967871485944
abstract,1,15,1245,100.0
historicalRole,0,16,1245,100.0
historicalRoleMixin,0,17,1245,100.0
phaseMixin,0,18,1245,100.0
event,0,19,1245,100.0
quantity,0,20,1245,100.0
situation,0,21,1245,100.0
