Stereotype,characterization,componentOf,derivation,externalDependence,material,mediation,memberOf,participation,none,other
characterization,1.0,0.24213025402135338,-0.004838183340108845,0.406089648136367,0.11650271437352834,0.3358849687214324,0.13958236439830748,0.3071034938497607,-0.04570152821274876,0.13502820021206627
componentOf,0.24213025402135338,1.0,0.08168211186518587,0.010755281105780093,0.3214845061373822,0.2980424235397303,0.40332396042442253,-0.08674657836087515,-0.15063535350641474,0.12829260069876464
derivation,-0.004838183340108845,0.08168211186518587,1.0,-0.08388223927844395,0.44443175840965005,0.36869595257386834,0.2115668374665793,-0.1083457395485052,0.0056420834354925405,0.3654403700204991
externalDependence,0.406089648136367,0.010755281105780093,-0.08388223927844395,1.0,-0.2517182055619048,0.09041602866928401,0.10979280254804914,0.3420845526851923,-0.009511404527537504,0.07906627995565231
material,0.11650271437352834,0.3214845061373822,0.44443175840965005,-0.2517182055619048,1.0,0.3293284938505151,0.24097384816111259,-0.1136416366951406,-0.1794328719807978,0.2263890719581066
mediation,0.3358849687214324,0.2980424235397303,0.36869595257386834,0.09041602866928401,0.3293284938505151,1.0,0.377392374035547,0.013081224414640194,-0.27667210375138973,0.26118814075288294
memberOf,0.13958236439830748,0.40332396042442253,0.2115668374665793,0.10979280254804914,0.24097384816111259,0.377392374035547,1.0,0.05227068792549482,-0.2943006840536752,0.3152282809362978
participation,0.3071034938497607,-0.08674657836087515,-0.1083457395485052,0.3420845526851923,-0.1136416366951406,0.013081224414640194,0.05227068792549482,1.0,-0.08232537773455009,0.025861645884529494
none,-0.04570152821274876,-0.15063535350641474,0.0056420834354925405,-0.009511404527537504,-0.1794328719807978,-0.27667210375138973,-0.2943006840536752,-0.08232537773455009,1.0,-0.08082946831750916
other,0.13502820021206627,0.12829260069876464,0.3654403700204991,0.07906627995565231,0.2263890719581066,0.26118814075288294,0.3152282809362978,0.025861645884529494,-0.08082946831750916,1.0
