Stereotype,DistanceFromOrigin,Rank
subkind,16.719317069973208,1
role,15.248242400089161,2
kind,13.107956876968766,3
relator,10.306320827652703,4
category,4.810942410526929,5
roleMixin,4.760738959954595,6
mode,4.488103054362934,7
event,3.917833414380032,8
phase,2.744210082200078,9
quality,2.0750023023905113,10
type,1.7605865874362576,11
collective,1.0916574892287765,12
datatype,0.7278921664981488,13
mixin,0.6946795414438978,14
situation,0.6533427370005459,15
enumeration,0.520743102473999,16
quantity,0.3639002833515502,17
historicalRole,0.19013875558069304,18
phaseMixin,0.16554720340269147,19
historicalRoleMixin,0.07446079298864858,20
abstract,0.00834474427988365,21
