Construct Pair,Dice Coefficient,Mutual Information
abstract - category,0.0229885057471264,0.0364078720846304
abstract - collective,0.0,0.0028358364234331
abstract - datatype,0.0,0.0020086918569354
abstract - enumeration,0.0,0.0005677434207961
abstract - event,0.037037037037037,0.0320835072601303
abstract - historicalRole,0.0,0.0002789973583562
abstract - historicalRoleMixin,0.5,0.0364078720846307
abstract - kind,0.0,0.0150524133590309
abstract - mixin,0.0,0.0016660713202636
abstract - mode,0.0338983050847457,0.0187288019323655
abstract - phase,0.0,0.0034371607797052
abstract - phaseMixin,0.2222222222222222,0.047864850275705
abstract - quality,0.0444444444444444,0.0219186613287022
abstract - quantity,0.0,0.0008669442132167
abstract - relator,0.0,0.0116306157281264
abstract - role,0.0,0.0098707925615193
abstract - roleMixin,0.0363636363636363,0.0478648502757041
abstract - situation,0.0909090909090909,0.0271870641790855
abstract - subkind,0.0,0.0108301342525422
abstract - type,0.074074074074074,0.0364078720846307
category - collective,0.4462809917355372,0.3549102952958103
category - datatype,0.375,0.3532731273125949
category - enumeration,0.1063829787234042,0.1464617056720931
category - event,0.5755395683453237,0.6762009714571627
category - historicalRole,0.0666666666666666,0.0707988001869351
category - historicalRoleMixin,0.0674157303370786,0.0563462452762279
category - kind,0.7700534759358288,1.0461684830545996
category - mixin,0.3518518518518518,0.2630115556512219
category - mode,0.7083333333333334,0.739922490256488
category - phase,0.5039370078740157,0.5465341724761519
category - phaseMixin,0.1702127659574468,0.1337992706340202
category - quality,0.5538461538461539,0.5573678637491433
category - quantity,0.2040816326530612,0.1781751388595059
category - relator,0.7231638418079096,0.7433666068400571
category - role,0.7058823529411765,0.803169066762041
category - roleMixin,0.6571428571428571,0.6505629650811684
category - situation,0.3364485981308411,0.3056875892337752
category - subkind,0.8045977011494253,1.137034918980489
category - type,0.4285714285714285,0.5532121418431111
collective - datatype,0.360655737704918,0.1964597835781513
collective - enumeration,0.1395348837209302,0.0840614483556558
collective - event,0.3181818181818182,0.2360849334388503
collective - historicalRole,0.1025641025641025,0.0442222633802833
collective - historicalRoleMixin,0.0526315789473684,0.0274803726669964
collective - kind,0.4705882352941176,0.493766710133197
collective - mixin,0.3157894736842105,0.1370930642485269
collective - mode,0.4731182795698925,0.3219808303646388
collective - phase,0.5263157894736842,0.317658715782708
collective - phaseMixin,0.1395348837209302,0.0395256678510069
collective - quality,0.3037974683544304,0.1526887590542392
collective - quantity,0.3404255319148936,0.158845795919096
collective - relator,0.5079365079365079,0.4240720601584717
collective - role,0.453781512605042,0.4309431816964986
collective - roleMixin,0.3370786516853932,0.2510737663261113
collective - situation,0.0357142857142857,0.0576388781598733
collective - subkind,0.4878048780487805,0.5701587151339884
collective - type,0.3278688524590163,0.2556237609206318
datatype - enumeration,0.2352941176470588,0.1494278295506023
datatype - event,0.3544303797468354,0.2271663818395822
datatype - historicalRole,0.0666666666666666,0.0313982047862052
datatype - historicalRoleMixin,0.0689655172413793,0.0179641064226527
datatype - kind,0.3779527559055118,0.402022569917922
datatype - mixin,0.2916666666666667,0.0917707598509078
datatype - mode,0.3333333333333333,0.2593582048922423
datatype - phase,0.2686567164179104,0.2140755365666285
datatype - phaseMixin,0.1764705882352941,0.0866316532004563
datatype - quality,0.3714285714285714,0.1830163401309384
datatype - quantity,0.3157894736842105,0.1039410164701709
datatype - relator,0.2905982905982906,0.2765862692811921
datatype - role,0.3272727272727272,0.3179144055583117
datatype - roleMixin,0.25,0.2014282471790698
datatype - situation,0.3404255319148936,0.1130860079270754
datatype - subkind,0.3684210526315789,0.4316258624558326
datatype - type,0.2692307692307692,0.1718200273607191
enumeration - event,0.0983606557377049,0.0881502963284055
enumeration - historicalRole,0.0,0.0023008371433912
enumeration - historicalRoleMixin,0.0,0.0017180748175919
enumeration - kind,0.146788990825688,0.207463010274435
