Stereotype,DistanceFromOrigin,Rank
subkind,2023.06908563137,1
role,1845.0630069154115,2
kind,1586.0541620421911,3
relator,1247.0425851617986,4
category,582.0198753521786,5
roleMixin,576.0196704516406,6
mode,543.0185434986821,7
event,474.01618714249594,8
phase,332.0113378297651,9
quality,251.00857167250314,10
type,213.0072739690963,11
collective,132.00450781183432,12
datatype,88.00300520788954,13
mixin,84.00286860753093,14
situation,79.00269785708267,15
enumeration,63.002151455648196,16
quantity,44.00150260394477,17
historicalRole,23.00078545206204,18
phaseMixin,20.000683001793078,19
historicalRoleMixin,9.000307350806885,20
abstract,1.000034150089654,21
