Construct,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,641,1,641,27.046413502109708
characterization,400,2,1041,43.924050632911396
material,325,3,1366,57.63713080168776
componentOf,233,4,1599,67.46835443037975
participation,207,5,1806,76.20253164556962
derivation,106,6,1912,80.67510548523207
memberOf,73,7,1985,83.75527426160338
instantiation,69,8,2054,86.66666666666667
externalDependence,69,9,2123,89.57805907172995
creation,60,10,2183,92.1097046413502
historicalDependence,44,11,2227,93.9662447257384
manifestation,34,12,2261,95.40084388185655
bringsAbout,30,13,2291,96.66666666666667
comparative,22,14,2313,97.59493670886076
participational,17,15,2330,98.31223628691983
triggers,16,16,2346,98.9873417721519
subQuantityOf,11,17,2357,99.45147679324894
subCollectionOf,8,18,2365,99.78902953586498
termination,5,19,2370,100.0
