Construct,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
bringsAbout,0.5606464641674165,0.3177613267756055,0.11221170447397488,0.1561468305914383,0.07635475210114093,0.06470524672803768,0.13503753359488896,0.1618010864502527,0.13527227784433812,0.13012546255270793,0.22521609395340667,0.23252732217661182,0.055863707464579714,0.3334115660902134,0.03410008044579271,0.0030743094202774213,0.0030743094202774213,0.06650252665891829,0.24486786403386607
characterization,0.3177613267756055,2.2925487686412387,0.1510035534578278,0.6997685083827055,0.3788422051710195,0.3899002741907368,0.5097716048363373,0.38201388875195774,0.43692770743884796,0.3217493717793829,0.8133807472610778,0.9905663573359196,0.3886823747121161,0.6742514000234614,0.102933303623626,0.06262107807675897,0.08337697486898113,0.06605636084234554,0.2943019618597302
comparative,0.11221170447397488,0.1510035534578278,0.28352443917872877,0.19241790212554458,0.09905514652161668,0.09525593593315149,0.013749866256539137,0.05651462950914532,0.011452186889074324,0.041247883423243155,0.25338760524133996,0.17516021106873308,0.08808263006108152,0.12793816862335897,0.0024855819412868962,0.0012285786686522526,0.0012285786686522526,0.10510303234874191,0.037400444065124425
componentOf,0.1561468305914383,0.6997685083827055,0.19241790212554458,1.4901164755830592,0.2619180955574598,0.32345603106958587,0.2392594793709863,0.21182696572128912,0.2991702572440164,0.18850727075319967,0.6996590868096055,0.7146023042212345,0.4035817432244966,0.34574632871112454,0.04663201989110859,0.09260507218583558,0.07753665521714112,0.09410172736111849,0.07830658295537006
creation,0.07635475210114093,0.3788422051710195,0.09905514652161668,0.2619180955574598,0.8339915417384554,0.16491415546147625,0.17614683315551785,0.20177742942870988,0.24852708159577408,0.17443101967843794,0.2770854573369645,0.458147761906897,0.20097994696064744,0.5615513927551696,0.13927527437329035,0.09904495928155974,0.062221750712085654,0.09499238287749673,0.04380769254892851
derivation,0.06470524672803768,0.3899002741907368,0.09525593593315149,0.32345603106958587,0.16491415546147625,1.11514486861426,0.10211462132757249,0.078273210020979,0.06769893220223085,0.04381136781686632,0.6201812365155999,0.6084387900232935,0.18605120302911476,0.17235162215888097,0.017633392970937176,0.04340337060521519,0.04909085042874289,0.052403152269223846,0.06541183009673525
externalDependence,0.13503753359488896,0.5097716048363373,0.013749866256539137,0.2392594793709863,0.17614683315551785,0.10211462132757249,0.9339324326822892,0.2360108568085968,0.39532457436280444,0.24792853400652057,0.15977300379363918,0.45500480124489423,0.16688371448193684,0.3583961773339392,0.10943831428430871,0.04176572776826937,0.04176572776826937,0.03791963520608113,0.13352625162498605
historicalDependence,0.1618010864502527,0.38201388875195774,0.05651462950914532,0.21182696572128912,0.20177742942870988,0.078273210020979,0.2360108568085968,0.7369618722245964,0.31182078910094074,0.22456131394519468,0.19635612783676332,0.39596399023895773,0.1338924911088178,0.48204446806571033,0.09727703819542158,0.08028308499122547,0.04686151142532687,0.034539434396748926,0.14042250270322235
instantiation,0.13527227784433812,0.43692770743884796,0.011452186889074324,0.2991702572440164,0.24852708159577408,0.06769893220223085,0.39532457436280444,0.31182078910094074,0.8400380508104397,0.4011350068591219,0.17394209610170291,0.3988973672684084,0.1585485320165309,0.43286323867434257,0.06723326882771785,0.041318963432486595,0.041318963432486595,0.043459786587784086,0.11433328113860364
manifestation,0.13012546255270793,0.3217493717793829,0.041247883423243155,0.18850727075319967,0.17443101967843794,0.04381136781686632,0.24792853400652057,0.22456131394519468,0.4011350068591219,0.5757148811361109,0.0980085934036175,0.24891877173336346,0.05492508558778546,0.3593766261829861,0.00622296198130641,0.0030743094202774213,0.0030743094202774213,0.0046391183823312615,0.1250206744248028
material,0.22521609395340667,0.8133807472610778,0.25338760524133996,0.6996590868096055,0.2770854573369645,0.6201812365155999,0.15977300379363918,0.19635612783676332,0.17394209610170291,0.0980085934036175,1.731022329111264,0.9423492236192891,0.40258121896642574,0.4100221160288573,0.043232492459913494,0.07060756016392059,0.08567597713261504,0.11032555135894606,0.12194676084017388
mediation,0.23252732217661182,0.9905663573359196,0.17516021106873308,0.7146023042212345,0.458147761906897,0.6084387900232935,0.45500480124489423,0.39596399023895773,0.3988973672684084,0.24891877173336346,0.9423492236192891,2.3234252408618663,0.5890074512824656,0.6504992038509129,0.17639426818535603,0.11980085607378116,0.11980085607378116,0.08097215842358849,0.17869900139939598
memberOf,0.055863707464579714,0.3886823747121161,0.08808263006108152,0.4035817432244966,0.20097994696064744,0.18605120302911476,0.16688371448193684,0.1338924911088178,0.1585485320165309,0.05492508558778546,0.40258121896642574,0.5890074512824656,0.9163067253554193,0.2718333088121961,0.06820828365729856,0.09041642940858673,0.09041642940858673,0.05536583436793257,0.03776170427315064
participation,0.3334115660902134,0.6742514000234614,0.12793816862335897,0.34574632871112454,0.5615513927551696,0.17235162215888097,0.3583961773339392,0.48204446806571033,0.43286323867434257,0.3593766261829861,0.4100221160288573,0.6504992038509129,0.2718333088121961,1.3311722572828137,0.18747344258981977,0.0990449592815584,0.09260507218583558,0.10067986270102314,0.21984583330552343
participational,0.03410008044579271,0.102933303623626,0.0024855819412868962,0.04663201989110859,0.13927527437329035,0.017633392970937176,0.10943831428430871,0.09727703819542158,0.06723326882771785,0.00622296198130641,0.043232492459913494,0.17639426818535603,0.06820828365729856,0.18747344258981977,0.22405016362293073,0.060326580517983154,0.060326580517983154,0.04562875679294385,0.02115222831352922
subCollectionOf,0.0030743094202774213,0.06262107807675897,0.0012285786686522526,0.09260507218583558,0.09904495928155974,0.04340337060521519,0.04176572776826937,0.08028308499122547,0.041318963432486595,0.0030743094202774213,0.07060756016392059,0.11980085607378116,0.09041642940858673,0.0990449592815584,0.060326580517983154,0.11980085607378119,0.06008092755678747,0.0007287845171328952,0.0025307745329310877
subQuantityOf,0.0030743094202774213,0.08337697486898113,0.0012285786686522526,0.07753665521714112,0.062221750712085654,0.04909085042874289,0.04176572776826937,0.04686151142532687,0.041318963432486595,0.0030743094202774213,0.08567597713261504,0.11980085607378116,0.09041642940858673,0.09260507218583558,0.060326580517983154,0.06008092755678747,0.11980085607378119,0.0007287845171328952,0.0025307745329310877
termination,0.06650252665891829,0.06605636084234554,0.10510303234874191,0.09410172736111849,0.09499238287749673,0.052403152269223846,0.03791963520608113,0.034539434396748926,0.043459786587784086,0.0046391183823312615,0.11032555135894606,0.08097215842358849,0.05536583436793257,0.10067986270102314,0.04562875679294385,0.0007287845171328952,0.0007287845171328952,0.1644523676220805,0.019986502193285405
triggers,0.24486786403386607,0.2943019618597302,0.037400444065124425,0.07830658295537006,0.04380769254892851,0.06541183009673525,0.13352625162498605,0.14042250270322235,0.11433328113860364,0.1250206744248028,0.12194676084017388,0.17869900139939598,0.03776170427315064,0.21984583330552343,0.02115222831352922,0.0025307745329310877,0.0025307745329310877,0.019986502193285405,0.4463174326760096
