Percentage,Top k Stereotypes,Coverage
10.0,1,0.15938303341902313
20.0,3,0.40359897172236503
30.0,5,0.5629820051413882
40.0,7,0.6889460154241646
50.0,9,0.7866323907455013
60.0,11,0.87146529562982
70.0,13,0.9331619537275064
80.0,15,0.9717223650385605
90.0,17,0.9897172236503856
100.0,19,1.0
