Percentage,Top k Stereotypes,Coverage
10.0,1,0.27046413502109706
20.0,3,0.5763713080168776
30.0,5,0.7620253164556962
40.0,7,0.8375527426160337
50.0,9,0.8957805907172995
60.0,11,0.939662447257384
70.0,13,0.9666666666666667
80.0,15,0.9831223628691983
90.0,17,0.9945147679324895
100.0,19,1.0
