Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
role,1445,1,1445,25.073746312684364
subkind,1059,2,2504,43.44959222627104
relator,935,3,3439,59.673781016831505
kind,708,4,4147,71.95904910636821
roleMixin,342,5,4489,77.89345826826306
category,312,6,4801,83.30730522297415
mode,296,7,5097,88.44351900052057
event,154,8,5251,91.11573833073052
type,139,9,5390,93.5276765573486
phase,137,10,5527,95.9049106368211
collective,70,11,5597,97.11955578691654
mixin,68,12,5665,98.2994967898664
quantity,33,13,5698,98.87211521776852
enumeration,25,14,5723,99.30591705708832
situation,17,15,5740,99.60090230782579
quality,13,16,5753,99.82647926427208
datatype,10,17,5763,100.0
abstract,0,18,5763,100.0
phaseMixin,0,19,5763,100.0
historicalRole,0,20,5763,100.0
historicalRoleMixin,0,21,5763,100.0
